,uHost,vHost,sHost,sLead_new,sTest_new
0,"[0.13784161046, 0.13735002944, 0.13689304389, 0.13646746442, 0.13607046244, 0.13569952211, 0.13535239958, 0.13502708836, 0.13472178971, 0.13443488725, 0.13416492519, 0.13391058947, 0.13367069145, 0.13344415384, 0.1332299983, 0.13302733475, 0.13283535195, 0.13265330922, 0.13248052921, 0.13231639148, 0.13216032685, 0.13201181237, 0.1318703669, 0.13173554712, 0.13160694406, 0.13148417989, 0.13136690515, 0.1312547962, 0.13114755297, 0.13104489695, 0.13094656931, 0.13085232927, 0.1307619526, 0.1306752303, 0.13059196734, 0.13051198155, 0.13043510264, 0.13036117126, 0.13029003818, 0.1302215635, 0.130155616, 0.13009207246, 0.1300308171, 0.12997174105, 0.12991474184, 0.12985972298, 0.12980659353, 0.12975526771, 0.12970566457, 0.12965770768, 0.12961132478, 0.12956644756, 0.12952301137, 0.12948095502, 0.12944022052, 0.12940075291, 0.12936250007, 0.12932541252, 0.12928944329, 0.12925454776, 0.12922068352, 0.12918781023, 0.022736200166, -0.41691850715, 0.12823955188, 0.029237234815, -0.043417873984, -0.032530187182, 0.0061914493561, 0.12775520335, 0.12775360024, 0.1277520142, 0.127750445, 0.1277488924, 0.12774735616, 0.12774583606, 3.0, 2.8112783175, -2.0, 1.4785465085, 0.14051672401]","[5.111496, 4.988169138950711, 4.870721586810313, 4.758739581881401, 4.651847507455927, 4.549703576693283, 4.451996092297607, 4.3584401933220756, 4.268775016502701, 4.1827612115816555, 4.10017876001945, 4.020825054690407, 3.944513204678522, 3.87107053491272, 3.800337255028902, 3.7321652754027137, 3.666417151796086, 3.6029651425108677, 3.541690364253977, 3.4824820348880374, 3.425236792744001, 3.369858083616883, 3.3162556076785856, 3.26434481961306, 3.214046476023386, 3.16528622504831, 3.117994233548388, 3.072104847998097, 3.027556285509348, 2.984290351939238, 2.9422521843604805, 2.9013900153999774, 2.8616549573678784, 2.8230008042351007, 2.7853838497943837, 2.7487627204175595, 2.713098221088639, 2.6783531935254157, 2.6444923852478106, 2.6114823286532416, 2.5792912291751153, 2.547888861806643, 2.517246475184576, 2.487336702655073, 2.458133479719139, 2.42961196730551, 2.401748480443014, 2.374520421851173, 2.347906220062014, 2.321885271744525, 2.2964378878972087, 2.271545243545705, 2.247189330782215, 2.2233529148063305, 2.200019492812089, 2.177173255435209, 2.154799050645122, 2.132882349871794, 2.11140921618366, 2.0903662744276077, 2.06974068315348, 2.0495201082081738, 2.029692697874842, 1.903827370128606, 1.3408396804040366, 1.3323534399128496, 1.2249809152492768, 1.0463577636231278, 0.8806974755519124, 0.755391680541164, 0.7526982485020324, 0.7500239896769714, 0.7473686998175493, 0.7447321775804625, 0.7421142244620885, 0.7395146447443192, 0.7369332454615658, 3.866569621, 6.5334711006, 4.3983062155, 5.736336, 5.736336]","[389.1537048, 394.1418739389507, 399.012595525761, 403.7713351076424, 408.42318261509837, 412.97288619179164, 417.4248822840893, 421.78332247741133, 426.05209749391406, 430.2348587054957, 434.33503746551514, 438.35586252020556, 442.3003757248841, 446.1714462597968, 449.97178351482574, 453.7039487902285, 457.3703659420246, 460.97333108453546, 464.5150214487894, 467.99750348367746, 471.42274027642145, 474.7925983600383, 478.1088539677169, 481.37319878733, 484.5872452633534, 487.7525314884017, 490.8705257219501, 493.9426305699482, 496.97018685545754, 499.9544772073968, 502.8967293917573, 505.79811940715723, 508.6597743645251, 511.4827751687602, 514.2681590185546, 517.0169217389721, 519.7300199600608, 522.4083731535861, 525.0528655388339, 527.6643478674871, 530.2436390966623, 532.7915279584689, 535.3087744336535, 537.7961111363086, 540.2542446160277, 542.6838565833332, 545.0856050637761, 547.4601254856273, 549.8080317056892, 552.1299169774338, 554.4263548653311, 556.6979001088768, 558.945089439659, 561.1684423544654, 563.3684618472774, 565.5456351027127, 567.7004341533578, 569.8333165032296, 571.9447257194133, 574.035091993841, 576.1048326769944, 578.1543527852026, 580.1840454830774, 582.087872853206, 583.4287125336101, 584.7610659735229, 585.9860468887722, 587.0324046523954, 587.9131021279472, 588.6684938084884, 589.4211920569904, 590.1712160466674, 590.918584746485, 591.6633169240654, 592.4054311485274, 593.1449457932717, 593.8818790387334, 597.74844842, 604.28191952, 608.68022574, 614.41656174, 620.1528977400001]","[455.71105200000005, 465.2817720000001, 474.922596, 546.6313680000001, 558.8745744, 507.1222776, 517.9307904000001, 528.6445104, 539.5712856, 550.6215048, 559.1973576, 567.13374, 573.6451824000001, 578.1101976, 582.5788704, 587.0475432000001, 591.2827392, 594.2475288, 596.879172, 599.7674568, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.739464, 601.9065432, 603.0638688, 605.4681312, 608.5642896, 613.0302192, 618.8598240000001, 626.0817552000001, 633.4240824000001]","[389.1537048, 395.2015464, 402.1625688, 409.0592784, 415.096452, 422.2967424, 430.5982752, 439.2210672, 447.388488, 454.7804976, 462.1755552, 469.4852688, 477.0126096, 484.20375600000006, 491.65611600000005, 499.29409920000006, 506.6669064, 514.1506608000001, 521.6243568, 529.7097864, 537.6681144, 545.1701568, 551.8367424, 558.5036328000001, 564.757824, 569.2304592, 573.7841712, 578.036436, 580.7549472000001, 583.4356632, 586.1200368, 588.0482016, 589.4999640000001, 590.9459352, 590.9727576, 590.9943984, 591.016344, 591.0382896000001, 591.0602352000001, 591.081876, 591.1038216000001, 591.1257672, 591.147408, 591.1693536, 591.1909944, 591.21294, 591.2345808, 591.2565264, 591.2781672, 591.3001128000001, 591.3220584, 591.344004, 591.3659496, 591.3875904, 591.409536, 591.4314816000001, 591.4531224, 591.4750680000001, 591.4967088000001, 591.5186544000001, 591.5402952000001, 591.5622408, 591.5841864, 591.6058272, 591.6277728, 591.6494136, 591.6713592000001, 591.693, 591.7149456, 591.7368912000001, 591.7585320000001, 591.7804776, 591.8021184, 591.824064, 591.8457048, 591.8676504, 591.8892912, 592.2605376, 594.091776, 596.245188, 598.4190216000001, 600.8168832, 603.2147448000001, 605.5479888, 609.1449336000001, 615.6103512000001, 622.0590048, 628.5207648]"
1,"[0.99669841593, -2.0, -2.0, 0.14780349213, 0.14645496353, 0.14523801383, 0.14413594018, -0.90546297912, 0.13760597143, 0.13713107743, 0.13668923111, 0.13627741923, 0.13589296572, 0.13553348732, 0.014602742, -0.3961473238, 0.13259251007, 0.10253057044, 0.12667326162, 0.13201602764, 0.13187438311, 0.13173937666, 0.13161059835, 0.13148766951, 0.13137023988, 3.0, 3.0, 3.0, 0.96421958896, 0.16982421689]","[12.697968, 12.742421392889002, 9.784391892595874, 7.167192309833951, 6.924721343926003, 6.698378780158296, 6.486590934766831, 6.287983890150445, 5.052754993404134, 4.932246375059558, 4.817417488969641, 4.707873084870591, 4.603253950939551, 4.503232880871243, 4.4075111725535825, 4.195221464216567, 3.581522850173036, 3.5209752297066634, 3.4325652693222684, 3.3714424352042625, 3.3177895445988757, 3.2658307226667644, 3.215486577873683, 3.16668262158149, 3.1193488942428482, 3.073419625328019, 3.866569621, 6.7212107132, 9.5576286279, 10.352024, 10.352024]","[389.8891872, 402.631608592889, 412.41600048548486, 419.58319279531884, 426.50791413924486, 433.20629291940315, 439.69288385416996, 445.9808677443204, 451.0336227377245, 455.96586911278405, 460.7832866017537, 465.49115968662426, 470.09441363756383, 474.59764651843506, 479.00515769098865, 483.2003791552052, 486.78190200537824, 490.3028772350849, 493.73544250440716, 497.1068849396114, 500.4246744842103, 503.69050520687705, 506.9059917847507, 510.0726744063322, 513.1920233005751, 516.2654429259031, 520.13201282, 526.8532235299999, 536.41085216, 546.76287616, 557.1149001599999]","[426.8321664, 442.1203248000001, 455.6324136, 469.2856248000001, 481.84643280000006, 537.024072, 505.70404320000006, 537.4831008, 537.7126152, 537.9421296, 538.1713392, 538.4008536, 538.6303680000001, 538.8598824000001, 539.089092, 539.3186064, 539.560008, 539.805372, 540.0504312, 540.2951856000001, 540.6356472, 542.7101160000001, 544.8748056000001, 547.0355328, 550.8912528, 557.335944, 564.3109872, 572.8600176, 581.6742240000001, 592.0441296, 601.5261528]","[389.8891872, 402.7026744, 414.32439360000006, 427.1616552, 440.8743024, 453.8886528, 465.6578952, 477.33661200000006, 487.562652, 498.3486096, 506.3011464000001, 514.3746888, 521.852652, 526.3542432, 528.626832, 530.688804, 531.217632, 531.3977688, 531.577296, 531.7559088, 531.9345216, 532.8656856, 534.422604, 536.1026616, 537.7839384, 541.3046832, 546.6661152, 552.210732, 560.3754096, 568.6571304, 578.1324480000001, 587.6928048, 597.7365744, 608.5450872, 618.7909392, 629.0331336]"
2,"[0.1810901443, 0.17536177097, -2.0, 0.15124770011, 0.14954371465, -0.064871844477, 0.14549731628, 0.14437107935, 0.14334853162, 0.14241723593, 0.14156657544, 0.14078744164, 0.14007198326, 0.13941340277, 0.13880579047, 0.13824398834, 0.13772347769, 0.13724028609, 0.13679090963, 0.13637224799, 0.13598154965, 3.0, 3.0, 3.0, -1.2964754218, 0.15347320613]","[11.649456, 11.0088766741133, 10.436808693351024, 7.7521302838743855, 7.468466590503557, 7.205182563225855, 6.7472434842469955, 6.532354381500677, 6.33093507243854, 6.14174543431753, 5.963694092619471, 5.795816650353927, 5.637257648326085, 5.4872555285726206, 5.345130031438032, 5.2102715773618415, 5.082132276844473, 4.960218283630844, 4.844083262042921, 4.733322782837313, 4.627569496890876, 4.526488963089452, 3.866569621, 6.7212107132, 9.557628628, 8.10768, 8.10768]","[389.5124544000001, 400.5213310741134, 410.9581397674644, 418.7102700513388, 426.17873664184236, 433.3839192050682, 440.1311626893152, 446.6635170708159, 452.9944521432544, 459.136197577572, 465.0998916701914, 470.89570832054534, 476.53296596887145, 482.0202214974441, 487.3653515288821, 492.57562310624394, 497.6577553830884, 502.61797366671925, 507.4620569287622, 512.1953797115995, 516.8229492084903, 521.3494381715798, 525.2160080200001, 531.93721873, 541.4948473600001, 549.6025273600001, 557.7102073600001]","[425.5163448, 439.1719944, 452.2177392, 465.03366480000005, 478.9041984, 553.048932, 553.0891656, 553.1293992000001, 553.1696328, 553.2095616, 553.2497952, 553.2900288000001, 553.3299576000001, 553.3656192, 554.2413096, 555.4687392000001, 556.6961688, 557.9202456, 561.1849584, 565.8011544000001, 570.422532, 576.2484792, 582.4243368, 590.1625992, 597.5219952, 605.3093304, 613.2902136]","[389.5124544000001, 401.1957432, 412.3751976, 423.063924, 435.2608008, 448.04838, 460.4869632000001, 472.77345120000007, 484.371396, 495.3582168, 506.230128, 517.2617544000001, 526.6489848000001, 533.4637032, 538.2737520000001, 543.0908112000001, 545.7782328000001, 548.1763992, 550.5477432, 554.1748632, 558.3298968, 562.4806632000001, 566.95086, 573.0090648, 580.6574112000001, 588.2600376, 595.6660680000001, 602.6807352000001, 610.2592824000001, 618.343188, 626.4792144, 634.6146312000001]"
3,"[0.19043433306, -2.0, -0.68412859702, 0.15151569182, 0.1497829263, 0.14823342637, 0.1468420269, 0.14558776447, 0.14445305872, 0.14342307475, 0.14248522184, 0.14162875634, 0.14084446434, 0.14012440647, 0.13946171121, 0.13885040633, 0.13828528078, 0.13776177066, 0.13727586482, 0.13682402611, -0.22118473474, 0.1347524665, 0.13446373266, 3.0, 3.0, 0.9669318042, -2.0, 0.13903486151]","[12.624816000000001, 11.87248017661931, 9.023978248254899, 7.795803804878149, 7.508934930773345, 7.242789932256482, 6.995176952882901, 6.764205111103006, 6.548234248043857, 6.345834465698963, 6.15575329173991, 5.976888838494199, 5.8082677126580515, 5.649026719215861, 5.498397617863575, 5.355694351856225, 5.220302292120232, 5.0916691340389475, 4.969297156982061, 4.852736613762865, 4.741580061492515, 4.277869620394428, 4.191488921092933, 4.108561478476035, 3.866569621, 6.7212107132, 7.5381858815, 5.399151, 5.399151]","[389.0662272, 400.93870737661933, 409.9626856248742, 417.7584894297524, 425.26742436052575, 432.5102142927822, 439.5053912456651, 446.26959635676815, 452.817830604812, 459.16366507051094, 465.3194183622509, 471.29630720074505, 477.1045749134031, 482.75360163261894, 488.2519992504825, 493.60769360233877, 498.827995894459, 503.91966502849795, 508.88896218548, 513.7416987992428, 518.4832788607354, 522.7611484811298, 526.9526374022228, 531.0611988806988, 534.92776882, 541.64897953, 549.18716542, 554.58631642, 559.9854674200001]","[558.7407672, 558.7703328, 558.8075184, 558.8459232, 558.8837184, 558.9218184, 558.9599184, 559.0199640000001, 559.1043936000001, 559.1876040000001, 559.2699, 559.3464048000001, 559.4219952000001, 559.4981952, 559.5740904, 559.6499856, 559.725576, 559.8014712, 559.8773664, 561.2459184, 565.7033136, 570.0238536, 574.4617416000001, 578.8968864000001, 584.1680976, 589.6160928, 595.2737904, 600.3014664]","[389.0662272, 402.0135216000001, 413.8354944, 425.939712, 437.9402976, 449.7982368, 461.2952928, 468.3337344, 472.6658568, 476.998284, 481.3304064, 485.07914160000007, 489.4225416000001, 493.7421672, 497.4863304, 499.6818048, 502.9227432, 508.55453280000006, 514.3628016, 520.1216928, 525.7870104, 531.9467136000001, 538.449012, 545.1491256, 551.8498488, 559.1269488, 566.9468975999999, 574.7266128, 581.8881936, 588.9967392, 597.0388872, 606.2161104, 615.7837824000001, 624.8619456, 634.2147336]"
4,"[-2.0, -2.0, 0.14468825904, 0.14363684252, 0.14268010194, 0.14180692484, 0.14100779114, 0.14027450576, 0.13959998249, 0.13897806793, 0.13840339735, 0.13787127602, 0.1373775808, 0.13691867836, 0.13649135674, 0.1360927678, 0.13572037872, 0.13537193088, 0.13504540485, 0.13473899057, 0.13445106171, 0.13418015369, 0.13392494469, 3.0, 3.0, 3.0, -1.386452448, 0.15290418002]","[12.015215999999999, 9.149274223431016, 6.593581614295791, 6.38836883622411, 6.195730999672102, 6.014535780459193, 5.843783759308693, 5.682589377305989, 5.530165088395705, 5.385808097809195, 5.248889205418885, 5.118843373058179, 4.9951617118856095, 4.8773846455823255, 4.7650960523904216, 4.657918225780056, 4.555507522881274, 4.457550593353021, 4.363761100053773, 4.273876858043463, 4.187657330856936, 4.104881432839529, 4.025345594715933, 3.9488620562072536, 3.866569621, 6.7212107132, 9.557628628, 8.018272, 8.018272]","[389.3917536, 398.541027823431, 405.1346094377268, 411.5229782739509, 417.718709273623, 423.7332450540822, 429.5770288133909, 435.25961819069687, 440.7897832790926, 446.1755913769018, 451.4244805823207, 456.54332395537887, 461.53848566726447, 466.4158703128468, 471.1809663652372, 475.8388845910173, 480.39439211389856, 484.85194270725157, 489.2157038073053, 493.4895806653488, 497.67723799620575, 501.7821194290453, 505.8074650237612, 509.75632707996846, 513.62289622, 520.34410693, 529.90173556, 537.92000756, 545.93827956]","[401.1957432, 412.3751976, 423.063924, 435.2608008, 448.04838, 460.4869632000001, 472.77345120000007, 553.1696328, 553.2095616, 553.2497952, 553.2900288000001, 526.6489848000001, 533.4637032, 538.2737520000001, 543.0908112000001, 545.7782328000001, 548.1763992, 550.5477432, 554.1748632, 558.3298968, 562.4806632000001, 566.95086, 573.0090648, 580.6574112000001, 588.2600376, 595.6660680000001, 602.6807352000001, 610.2592824000001]","[389.3917536, 401.4968856, 413.0759328, 424.226736, 435.1931352, 446.3975832, 457.274676, 468.0810552, 478.9755216, 488.6489592, 499.2270432, 508.7474712, 517.216644, 524.0792160000001, 530.455632, 536.04414, 538.986984, 540.9553824000001, 542.921952, 545.9294136, 550.4380152, 555.0091008, 559.5804912, 564.4633872, 571.5405384000001, 578.7393048, 585.9258792, 593.0649048, 601.496892, 610.3153656000001, 619.2460056, 628.0202832000001]"
5,"[-2.0, -2.0, 0.14320255046, 0.14228405223, 0.14144472606, 0.14067566777, 0.13996919697, 0.13931865983, 0.13871826805, 0.13816296666, 0.1376483249, -0.1971626829, -0.00054485458822, 0.13469695827, -0.22847556731, 0.13302240667, 0.1328306812, 0.13264887812, 0.13247632158, 0.13231239248, 0.13215652285, 0.13200819086, 0.13186691633, 0.13173225688, 0.13160380431, 0.13148118157, 0.13136403986, 0.13125205615, 0.13114493096, 0.13104238626, 0.1309441637, 0.13085002294, 0.13075974015, 0.13067310668, 0.13058992784, 0.13051002178, 0.13043321848, 0.13035935886, 0.13028829392, 0.13021988401, 0.1301539981, 0.13009051316, 0.1300293136, 0.12997029071, -0.19311299038, -2.0, 0.12753052789, 0.12753052799]","[11.649456, 8.827786529813299, 6.3016548775845, 6.11421117413352, 5.937752709481, 5.771332585842645, 5.61411039934529, 5.465337603532131, 5.324345231910167, 5.190533546058517, 5.063363264824675, 4.94234809901607, 4.492715241129236, 4.261399141113114, 4.175682320222847, 3.7304920539479456, 3.664802870122692, 3.6014067229231648, 3.5401849405450796, 3.481026934425373, 3.4238295203406284, 3.368496306994678, 3.3149371443680016, 3.263067625048263, 3.212808632825863, 3.164085933215995, 3.1168298016187244, 3.070974684951383, 3.026458893395288, 2.9832243191778005, 2.9412161795564806, 2.9003827817216585, 2.8606753073932967, 2.8220476152175857, 2.7844560592937446, 2.747859322298716, 2.7122182618423576, 2.6774957688498646, 2.643656636913747, 2.610667441587108, 2.5784964287980174, 2.5471134115278247, 2.5164896740922216, 2.4865978833874127, 2.4865978834, 2.1641065281, 0.0365760001, 0.036576, 0.036576]","[389.1058512, 397.9336377298133, 404.2352926073978, 410.3495037815313, 416.28725649101233, 422.05858907685496, 427.67269947620025, 433.1380370797324, 438.46238231164256, 443.6529158577011, 448.71627912252575, 453.6586272215418, 458.15134246267104, 462.4127416037841, 466.588423924007, 470.31891597795493, 473.9837188480776, 477.5851255710008, 481.1253105115459, 484.60633744597123, 488.03016696631187, 491.39866327330657, 494.71360041767457, 497.97666804272285, 501.1894766755487, 504.35356260876466, 507.4703924103834, 510.5413670953348, 513.5678259887301, 516.5510503079079, 519.4922664874643, 522.392649269186, 525.2533245765793, 528.0753721917969, 530.8598282510906, 533.6076875733893, 536.3199058352317, 538.9974016040816, 541.6410582409953, 544.2517256825824, 546.8302221113804, 549.3773355229082, 551.8938251970004, 554.3804230803878, 556.86702096, 559.03112749, 559.06770349, 559.10427949, 559.14085549]","[433.1058648, 446.57772000000006, 459.8968704, 473.1419544, 486.67080720000007, 498.71345520000006, 510.7219656, 522.448536, 533.5868424, 544.4813088000001, 555.0895680000001, 564.0467256000001, 571.6819656, 579.3062328000001, 586.6689816, 590.2080144, 592.4595720000001, 594.9583224, 597.4134864, 597.7054848, 597.7054848, 597.7054848, 597.7054848, 597.7054848, 597.7057896, 597.7054848, 597.70518, 597.7048752000001, 597.7048752000001, 597.7048752000001, 597.7048752000001, 597.7048752000001, 597.7048752000001, 597.7048752000001, 597.7048752000001, 597.7048752000001, 597.7048752000001, 597.7048752000001, 597.7048752000001, 597.7048752000001, 597.7048752000001, 597.7048752000001, 597.7048752000001, 597.7048752000001, 597.7048752000001, 597.7048752000001, 597.7048752000001, 597.7103616, 597.7167624]","[389.1058512, 401.1692256, 412.2182256, 424.5903624, 437.5303416, 450.0725568, 462.4477416, 475.1551584, 487.0771056, 500.2999392, 512.9345088, 525.5480472, 537.3535608000001, 548.4238968, 558.0363744, 565.7063616, 571.9971288, 577.0400448, 580.906128, 583.7051064, 585.8320008000001, 587.4337248, 588.323436, 588.3743376000001, 588.4249344, 588.4755312, 588.526128, 588.5767248000001, 588.6270168000001, 588.6776136, 588.7282104, 588.7788072000001, 588.8294040000001, 588.8796960000001, 588.9302928, 588.9808896000001, 589.0314864000001, 589.0820832, 589.1320704, 589.1976024, 589.4088288, 589.751424, 590.094324, 590.4369192, 590.7795144, 591.1224144, 591.4650096, 591.8076048, 592.1505048, 592.4934048, 592.836, 593.1789, 593.5214952, 593.8640904, 594.2069904, 594.5495856, 594.8921808, 595.2350808000001, 595.577676, 595.920576, 596.263476, 596.6060712, 597.5637528, 602.4771288000001, 607.5974640000001, 613.2716208, 621.7173240000001]"
6,"[-2.0, -2.0, 0.14906588655, 0.14759024033, 0.14626281249, 0.14506424843, 0.1439782708, 0.14299110784, 0.14209104238, 0.14126805303, 0.14051352677, 0.5167187957, 3.0, 3.0, 2.652309645, -2.0, 0.14723095306]","[13.024104, 10.028950792484796, 7.386966908867089, 7.129397705714256, 6.889477231371117, 6.665432793940813, 6.455723182729412, 6.259001864024296, 6.074087014209124, 5.89993694735071, 5.735629833139846, 5.580346852987755, 5.810256899357063, 3.866569621, 6.7212107132, 9.2124949731, 7.065264, 7.065264]","[389.6386416, 399.66759239248483, 407.0545593013519, 414.18395700706617, 421.0734342384373, 427.7388670323781, 434.1945902151075, 440.4535920791318, 446.5276790933409, 452.42761604069165, 458.1632458738315, 463.74359272681926, 469.5538496261763, 473.42041922100003, 480.14162993400004, 489.354124907, 496.41938891, 503.48465291]","[583.4502936, 583.5374664, 583.6246392, 583.711812, 524.7918384000001, 533.7995928, 541.5604104, 549.3754824, 556.0185984000001, 562.5352224000001, 568.7260152, 574.9225992, 581.2219008000001, 587.7010344, 593.9433384, 600.4450272, 607.3682544000001, 614.420412]","[389.6386416, 403.1217744, 413.9668632, 426.9236064, 443.0332008, 457.1789688, 471.2509752, 484.4335752, 498.1730448, 510.3763224, 522.2455392, 533.6478024, 544.2999528, 554.9810592, 565.5658488, 576.0335952, 586.6004016, 596.50884, 605.3718144000001, 613.9476672, 623.1133080000001, 632.2780344]"
7,"[-2.0, -2.0, 0.14325117509, 0.14232842063, 0.14148532413, 0.14071291364, 0.14000345211, 0.13935023801, 0.13874744275, 0.13818997717, 0.13767338132, 3.0, 3.0, 3.0, 2.2064770376, 0.18048646559]","[11.661648000000001, 8.838524834985842, 6.3114228580903395, 6.123397604072466, 5.946408493339431, 5.7795028167875, 5.621835169626499, 5.472652682440372, 5.331282635879547, 5.197122020547821, 5.069628693555687, 4.948313853023873, 3.866569621, 6.7212107132, 9.557628628, 11.5836192, 11.5836192]","[389.9867232, 398.8252480349858, 405.13667089307614, 411.2600684971486, 417.20647699048806, 422.98597980727556, 428.60781497690203, 434.0804676593424, 439.41175029522196, 444.60887231576976, 449.67850100932543, 454.6268148623493, 458.49338452099994, 465.21459523399994, 474.772223862, 486.35584306199996, 497.93946225999997]","[413.2441824, 424.1523648, 436.7146968, 449.4845976, 462.1121568, 474.1005504, 508.23540720000005, 519.5200176000001, 508.76911200000006, 519.8406672, 530.402292, 540.8206608, 551.7742584, 562.9424352, 573.9987504000001, 586.0606008, 597.9157968000001]","[389.9867232, 402.1390992, 413.3664072, 424.580304, 437.0865528, 449.7915312, 461.7052488, 473.1337248, 483.8831064, 494.925096, 505.87899840000006, 517.0371168, 527.3570352, 537.3325296, 547.5149832000001, 557.9181120000001, 568.8735384, 579.9478368, 591.3293736, 602.2966872000001, 614.3222664, 626.4002712]"
