,uHost,vHost,sHost,sLead_new,sTest_new
0,"[0.13784161046, 0.13735002944, 0.13689304389, 0.13646746442, 0.13607046244, 0.13569952211, 0.13535239958, 0.13502708836, 0.13472178971, 0.13443488725, 0.13416492519, 0.13391058947, 0.13367069145, 0.13344415384, 0.1332299983, 0.13302733475, 0.13283535195, 0.13265330922, 0.13248052921, 0.13231639148, 0.13216032685, 0.13201181237, 0.1318703669, 0.13173554712, 0.13160694406, 0.13148417989, 0.13136690515, 0.1312547962, 0.13114755297, 0.13104489695, 0.13094656931, 0.13085232927, 0.1307619526, 0.1306752303, 0.13059196734, 0.13051198155, 0.13043510264, 0.13036117126, 0.13029003818, 0.1302215635, 0.130155616, 0.13009207246, 0.1300308171, 0.12997174105, 0.12991474184, 0.12985972298, 0.12980659353, 0.12975526771, 0.12970566457, 0.12965770768, 0.12961132478, 0.12956644756, 0.12952301137, 0.12948095502, 0.12944022052, 0.12940075291, 0.12936250007, 0.12932541252, 0.12928944329, 0.12925454776, 0.12922068352, 0.12918781023, -0.21708849972, 0.12862279446, -0.24889217179, 0.12815713949, 0.023750353148, -0.043758199526, -0.010509263045, 0.12779571202, 0.12779365778, 0.1277916273, 0.12778962022, 0.12778763617, 0.12778567481, 0.12778373579, 3.0, 1.6363557435, 0.13888570014, 0.51281308527, 0.14051672401]","[5.111496, 4.988169138950711, 4.870721586810313, 4.758739581881401, 4.651847507455927, 4.549703576693283, 4.451996092297607, 4.3584401933220756, 4.268775016502701, 4.1827612115816555, 4.10017876001945, 4.020825054690407, 3.944513204678522, 3.87107053491272, 3.800337255028902, 3.7321652754027137, 3.666417151796086, 3.6029651425108677, 3.541690364253977, 3.4824820348880374, 3.425236792744001, 3.369858083616883, 3.3162556076785856, 3.26434481961306, 3.214046476023386, 3.16528622504831, 3.117994233548388, 3.072104847998097, 3.027556285509348, 2.984290351939238, 2.9422521843604805, 2.9013900153999774, 2.8616549573678784, 2.8230008042351007, 2.7853838497943837, 2.7487627204175595, 2.713098221088639, 2.6783531935254157, 2.6444923852478106, 2.6114823286532416, 2.5792912291751153, 2.547888861806643, 2.517246475184576, 2.487336702655073, 2.458133479719139, 2.42961196730551, 2.401748480443014, 2.374520421851173, 2.347906220062014, 2.321885271744525, 2.2964378878972087, 2.271545243545705, 2.247189330782215, 2.2233529148063305, 2.200019492812089, 2.177173255435209, 2.154799050645122, 2.132882349871794, 2.11140921618366, 2.0903662744276077, 2.06974068315348, 2.0495201082081738, 2.029692697874842, 1.6640026702426058, 1.6509328484763635, 1.260569665788914, 1.2530690774252187, 1.141258137488104, 0.9633079595109222, 0.8205222810412451, 0.8173443652500634, 0.8141910181809389, 0.811061955652728, 0.807956897859742, 0.8048755692709563, 0.8018176985714408, 0.7987830185656231, 3.866569621, 5.3640396515, 5.3640396387, 5.736336, 5.736336]","[389.1537048, 394.1418739389507, 399.012595525761, 403.7713351076424, 408.42318261509837, 412.97288619179164, 417.4248822840893, 421.78332247741133, 426.05209749391406, 430.2348587054957, 434.33503746551514, 438.35586252020556, 442.3003757248841, 446.1714462597968, 449.97178351482574, 453.7039487902285, 457.3703659420246, 460.97333108453546, 464.5150214487894, 467.99750348367746, 471.42274027642145, 474.7925983600383, 478.1088539677169, 481.37319878733, 484.5872452633534, 487.7525314884017, 490.8705257219501, 493.9426305699482, 496.97018685545754, 499.9544772073968, 502.8967293917573, 505.79811940715723, 508.6597743645251, 511.4827751687602, 514.2681590185546, 517.0169217389721, 519.7300199600608, 522.4083731535861, 525.0528655388339, 527.6643478674871, 530.2436390966623, 532.7915279584689, 535.3087744336535, 537.7961111363086, 540.2542446160277, 542.6838565833332, 545.0856050637761, 547.4601254856273, 549.8080317056892, 552.1299169774338, 554.4263548653311, 556.6979001088768, 558.945089439659, 561.1684423544654, 563.3684618472774, 565.5456351027127, 567.7004341533578, 569.8333165032296, 571.9447257194133, 574.035091993841, 576.1048326769944, 578.1543527852026, 580.1840454830774, 581.84804815332, 583.4989810017963, 584.7595506675852, 586.0126197450105, 587.1538778824986, 588.1171858420095, 588.9377081230507, 589.7550524883007, 590.5692435064817, 591.3803054621344, 592.1882623599942, 592.9931379292651, 593.7949556278365, 594.5937386464021, 598.46030842, 603.82434807, 609.18838771, 614.9247237100001, 620.66105971]","[455.71105200000005, 465.2817720000001, 474.922596, 546.6313680000001, 558.8745744, 507.1222776, 517.9307904000001, 528.6445104, 539.5712856, 550.6215048, 559.1973576, 567.13374, 573.6451824000001, 578.1101976, 582.5788704, 587.0475432000001, 591.2827392, 594.2475288, 596.879172, 599.7674568, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.739464, 601.9065432, 603.0638688, 605.4681312, 608.5642896, 613.0302192, 618.8598240000001, 626.0817552000001, 633.4240824000001]","[389.1537048, 395.2015464, 402.1625688, 409.0592784, 415.096452, 422.2967424, 430.5982752, 439.2210672, 447.388488, 454.7804976, 462.1755552, 469.4852688, 477.0126096, 484.20375600000006, 491.65611600000005, 499.29409920000006, 506.6669064, 514.1506608000001, 521.6243568, 529.7097864, 537.6681144, 545.1701568, 551.8367424, 558.5036328000001, 564.757824, 569.2304592, 573.7841712, 578.036436, 580.7549472000001, 583.4356632, 586.1200368, 588.0482016, 589.4999640000001, 590.9459352, 590.9727576, 590.9943984, 591.016344, 591.0382896000001, 591.0602352000001, 591.081876, 591.1038216000001, 591.1257672, 591.147408, 591.1693536, 591.1909944, 591.21294, 591.2345808, 591.2565264, 591.2781672, 591.3001128000001, 591.3220584, 591.344004, 591.3659496, 591.3875904, 591.409536, 591.4314816000001, 591.4531224, 591.4750680000001, 591.4967088000001, 591.5186544000001, 591.5402952000001, 591.5622408, 591.5841864, 591.6058272, 591.6277728, 591.6494136, 591.6713592000001, 591.693, 591.7149456, 591.7368912000001, 591.7585320000001, 591.7804776, 591.8021184, 591.824064, 591.8457048, 591.8676504, 591.8892912, 592.2605376, 594.091776, 596.245188, 598.4190216000001, 600.8168832, 603.2147448000001, 605.5479888, 609.1449336000001, 615.6103512000001, 622.0590048, 628.5207648]"
1,"[0.19116541844, -2.0, 0.07820271962, 0.15678380964, -2.0, 0.1407293974, 0.14001861094, 0.13936421106, 0.13876035128, 0.13820192726, 0.13768446609, 0.1372040345, 0.1367571623, -0.018072257513, -0.208540957, -0.10327463097, 0.13297190476, 0.1327828098, 0.13260345691, 0.13243318549, 0.13227139015, 0.13211751529, 0.13197105024, 0.13183152494, 0.13169850616, 3.0, 3.0, 3.0, 0.96421958892, 0.16982421689]","[12.697968, 11.936888395399002, 9.080542701269609, 8.609461567481194, 8.25958600417551, 5.783114998354523, 5.6252502054691655, 5.4758864186657705, 5.334349254426913, 5.2000342530733805, 5.072398003043635, 4.950950588661163, 4.835249136084642, 4.72489227496679, 4.4651023315502725, 4.027055301885264, 3.7133017698974706, 3.6482165889651093, 3.5853929838110217, 3.5247144391567953, 3.4660723407262943, 3.4093653145502696, 3.3544986316900722, 3.3013836708762967, 3.2499374325743826, 3.20008209887604, 3.866569621, 6.7212107132, 9.557628628, 10.352024, 10.352024]","[389.8891872, 401.826075595399, 410.9066182966686, 419.51607986414984, 427.77566586832535, 433.55878086667985, 439.184031072149, 444.6599174908148, 449.9942667452417, 455.1943009983151, 460.26669900135875, 465.2176495900199, 470.05289872610456, 474.77779100107136, 479.24289333262163, 483.2699486345069, 486.9832504044044, 490.6314669933695, 494.2168599771805, 497.7415744163373, 501.20764675706357, 504.61701207161383, 507.9715107033039, 511.2728943741802, 514.5228318067547, 517.7229139056307, 521.5894838199999, 528.31069453, 537.86832316, 548.22034716, 558.57237116]","[426.8321664, 442.1203248000001, 455.6324136, 469.2856248000001, 481.84643280000006, 537.024072, 505.70404320000006, 537.4831008, 537.7126152, 537.9421296, 538.1713392, 538.4008536, 538.6303680000001, 538.8598824000001, 539.089092, 539.3186064, 539.560008, 539.805372, 540.0504312, 540.2951856000001, 540.6356472, 542.7101160000001, 544.8748056000001, 547.0355328, 550.8912528, 557.335944, 564.3109872, 572.8600176, 581.6742240000001, 592.0441296, 601.5261528]","[389.8891872, 402.7026744, 414.32439360000006, 427.1616552, 440.8743024, 453.8886528, 465.6578952, 477.33661200000006, 487.562652, 498.3486096, 506.3011464000001, 514.3746888, 521.852652, 526.3542432, 528.626832, 530.688804, 531.217632, 531.3977688, 531.577296, 531.7559088, 531.9345216, 532.8656856, 534.422604, 536.1026616, 537.7839384, 541.3046832, 546.6661152, 552.210732, 560.3754096, 568.6571304, 578.1324480000001, 587.6928048, 597.7365744, 608.5450872, 618.7909392, 629.0331336]"
2,"[0.1810901443, 0.17536177097, 0.033145559157, 0.16531997401, 0.16190966341, -2.0, 0.14363211016, 0.14267578905, 0.14180298295, 0.14100417859, 0.14027118664, 0.13959692567, 0.1389752463, 0.13840078727, 0.13786885672, 0.13737533402, 0.13691658801, 0.13648940854, 0.13609094908, 0.1357186782, 0.13537033847, 3.0, 3.0, 3.0, -1.2964754218, 0.15347320613]","[11.649456, 11.0088766741133, 10.436808693351024, 9.785275843031386, 9.333307753932832, 8.922126979603348, 6.38743028269288, 6.194849045137573, 6.013705408076342, 5.843000532044497, 5.681849356075753, 5.529464763807422, 5.38514433283812, 5.248259187043334, 5.118244571331495, 4.994591845001397, 4.876841650059061, 4.764578057485273, 4.657423531372835, 4.555034580386865, 4.457097989141788, 4.363327540988674, 3.866569621, 6.7212107132, 9.557628628, 8.10768, 8.10768]","[389.5124544000001, 400.5213310741134, 410.9581397674644, 420.7434156104958, 430.07672336442863, 438.998850344032, 445.3862806267249, 451.58112967186247, 457.59483507993883, 463.4378356119833, 469.11968496805906, 474.6491497318665, 480.0342940647046, 485.28255325174797, 490.4007978230795, 495.3953896680809, 500.27223131814, 505.03680937562524, 509.6942329069981, 514.2492674873849, 518.7063654765267, 523.0696930175153, 526.9362630200001, 533.6574737300001, 543.2151023600001, 551.32278236, 559.4304623600001]","[425.5163448, 439.1719944, 452.2177392, 465.03366480000005, 478.9041984, 553.048932, 553.0891656, 553.1293992000001, 553.1696328, 553.2095616, 553.2497952, 553.2900288000001, 553.3299576000001, 553.3656192, 554.2413096, 555.4687392000001, 556.6961688, 557.9202456, 561.1849584, 565.8011544000001, 570.422532, 576.2484792, 582.4243368, 590.1625992, 597.5219952, 605.3093304, 613.2902136]","[389.5124544000001, 401.1957432, 412.3751976, 423.063924, 435.2608008, 448.04838, 460.4869632000001, 472.77345120000007, 484.371396, 495.3582168, 506.230128, 517.2617544000001, 526.6489848000001, 533.4637032, 538.2737520000001, 543.0908112000001, 545.7782328000001, 548.1763992, 550.5477432, 554.1748632, 558.3298968, 562.4806632000001, 566.95086, 573.0090648, 580.6574112000001, 588.2600376, 595.6660680000001, 602.6807352000001, 610.2592824000001, 618.343188, 626.4792144, 634.6146312000001]"
3,"[0.19043433306, 0.18316055003, -2.0, -2.0, 0.14148125825, 0.1407091837, 0.14000002185, 0.13934707598, 0.13874452154, 0.13818727278, 0.13767087269, 0.13719140159, 0.13674540099, 0.13632980972, 0.1359419102, 0.13557928303, 0.13523976845, 0.13492143347, 0.13462254382, 0.13434153986, 0.13407701581, 0.13382770184, 0.13359244855, 3.0, 3.0, 0.96693180421, -2.0, 0.13903486151]","[12.624816000000001, 11.87248017661931, 11.207138798284898, 8.437180074654927, 5.945542188039672, 5.778685139407881, 5.621062102366899, 5.471920640981025, 5.330588412202276, 5.196462734587154, 5.069001752124909, 4.947716914815383, 4.832166551841, 4.721950356025132, 4.616704631795174, 4.516098185793795, 4.419828760697555, 4.327619930042964, 4.239218385773976, 4.154391561659195, 4.072925544894107, 3.994623235792713, 3.9193027217932808, 3.8467958371401774, 3.866569621, 6.7212107132, 7.5381858815, 5.399151, 5.399151]","[389.0662272, 400.93870737661933, 412.14584617490425, 420.58302624955917, 426.52856843759884, 432.3072535770067, 437.9283156793736, 443.4002363203546, 448.7308247325569, 453.9272874671441, 458.996289219269, 463.94400613408436, 468.77617268592536, 473.49812304195046, 478.11482767374565, 482.63092585953945, 487.050754620237, 491.37837455027994, 495.61759293605394, 499.7719844977131, 503.84491004260724, 507.8395332783999, 511.7588360001932, 515.6056318373334, 519.47220182, 526.19341253, 533.73159842, 539.13074942, 544.52990042]","[558.7407672, 558.7703328, 558.8075184, 558.8459232, 558.8837184, 558.9218184, 558.9599184, 559.0199640000001, 559.1043936000001, 559.1876040000001, 559.2699, 559.3464048000001, 559.4219952000001, 559.4981952, 559.5740904, 559.6499856, 559.725576, 559.8014712, 559.8773664, 561.2459184, 565.7033136, 570.0238536, 574.4617416000001, 578.8968864000001, 584.1680976, 589.6160928, 595.2737904, 600.3014664]","[389.0662272, 402.0135216000001, 413.8354944, 425.939712, 437.9402976, 449.7982368, 461.2952928, 468.3337344, 472.6658568, 476.998284, 481.3304064, 485.07914160000007, 489.4225416000001, 493.7421672, 497.4863304, 499.6818048, 502.9227432, 508.55453280000006, 514.3628016, 520.1216928, 525.7870104, 531.9467136000001, 538.449012, 545.1491256, 551.8498488, 559.1269488, 566.9468975999999, 574.7266128, 581.8881936, 588.9967392, 597.0388872, 606.2161104, 615.7837824000001, 624.8619456, 634.2147336]"
4,"[-2.0, -2.0, 0.14468825904, 0.14363684252, 0.14268010194, 0.14180692484, 0.14100779114, -0.57206042528, 0.13669080037, 0.13627888305, 0.1358943334, 0.13553476713, 0.13519805509, 0.1348822911, 0.13458576442, 0.13430693608, 0.1340444186, 0.1337969583, 0.13356342013, 0.13334277438, 0.13313408515, 0.1329365002, 0.13274924219, 3.0, 3.0, 3.0, -1.3864524479, 0.15290418002]","[12.015215999999999, 9.149274223431016, 6.593581614295791, 6.38836883622411, 6.195730999672102, 6.014535780459193, 5.843783759308693, 5.682589377305989, 4.817830157355705, 4.708266984924676, 4.603630343631225, 4.503592916117503, 4.407855901206161, 4.316145962301142, 4.228212560719308, 4.143825618312219, 4.062773462735383, 3.9848610162791407, 3.9099081949862207, 3.837748490195249, 3.768227708553377, 3.701202850223334, 3.6365411078072043, 3.574118971193785, 3.866569621, 6.7212107132, 9.557628628, 8.018272, 8.018272]","[389.3917536, 398.541027823431, 405.1346094377268, 411.5229782739509, 417.718709273623, 423.7332450540822, 429.5770288133909, 435.25961819069687, 440.0774483480526, 444.78571533297725, 449.38934567660846, 453.89293859272595, 458.30079449393213, 462.6169404562333, 466.8451530169526, 470.98897863526486, 475.05175209800024, 479.03661311427936, 482.94652130926556, 486.7842697994608, 490.55249750801414, 494.2537003582375, 497.8902414660447, 501.4643604372385, 505.33093022, 512.0521409300001, 521.60976956, 529.62804156, 537.64631356]","[401.1957432, 412.3751976, 423.063924, 435.2608008, 448.04838, 460.4869632000001, 472.77345120000007, 553.1696328, 553.2095616, 553.2497952, 553.2900288000001, 526.6489848000001, 533.4637032, 538.2737520000001, 543.0908112000001, 545.7782328000001, 548.1763992, 550.5477432, 554.1748632, 558.3298968, 562.4806632000001, 566.95086, 573.0090648, 580.6574112000001, 588.2600376, 595.6660680000001, 602.6807352000001, 610.2592824000001]","[389.3917536, 401.4968856, 413.0759328, 424.226736, 435.1931352, 446.3975832, 457.274676, 468.0810552, 478.9755216, 488.6489592, 499.2270432, 508.7474712, 517.216644, 524.0792160000001, 530.455632, 536.04414, 538.986984, 540.9553824000001, 542.921952, 545.9294136, 550.4380152, 555.0091008, 559.5804912, 564.4633872, 571.5405384000001, 578.7393048, 585.9258792, 593.0649048, 601.496892, 610.3153656000001, 619.2460056, 628.0202832000001]"
5,"[-2.0, -1.8333681392, 0.14404235342, 0.14304944576, 0.14214430687, 0.14131681963, 0.14055829124, 0.13986121825, 0.1392190957, 0.13862626119, 0.13807776673, 0.13756927284, 0.13709696057, 0.13665745806, 0.13624777898, 0.13586527059, 0.13550756989, 0.1351725663, 0.13485836992, 0.13456328427, 0.13428578296, 0.1340244896, 0.13377816033, 0.13354566882, 0.13332599311, 0.13311820419, 0.13292145603, 0.13273497678, 0.13255806113, 0.13239006347, 0.13223039194, 0.13207850313, 0.13193389741, 0.13179611469, 0.1316647308, 0.13153935407, 0.13141962248, 0.13130520093, 0.13119577889, 0.13109106828, -0.26556561953, 0.13004283785, 0.1299833362, 0.1299259313, -0.17040875016, -2.0, 0.12753052789, 0.12753052799]","[11.649456, 8.827786529813299, 6.4682867383845, 6.27079899146975, 6.085186420224046, 5.910399310005482, 5.745508947254889, 5.589690584082483, 5.442209213865516, 5.302407629315376, 5.169696345464713, 5.043545055329398, 4.923475352151926, 4.80905450378136, 4.699890105379949, 4.595625468817443, 4.49593563258533, 4.400523896746623, 4.30911880375563, 4.221471499512351, 4.137353419688533, 4.056554255442958, 3.9788801598529417, 3.90415216228652, 3.832204763191357, 3.7628846856265183, 3.6960497635129523, 3.6315679494219424, 3.5693164270761955, 3.509180815953578, 3.451054456900403, 3.3948377693517493, 3.340437671871256, 3.287767058864273, 3.23674432711014, 3.1872929468049085, 3.1393410721137, 3.0928211872416718, 3.0476697841224953, 3.0038270685641617, 2.9612366919505635, 2.5232890848467595, 2.493235544109106, 2.4638936431638614, 2.4638936432, 2.1641065281, 0.0365760001, 0.036576, 0.036576]","[389.1058512, 397.9336377298133, 404.4019244681978, 410.67272345966757, 416.7579098798916, 422.66830918989706, 428.41381813715196, 434.0035087212344, 439.44571793509994, 444.7481255644153, 449.91782190988005, 454.96136696520944, 459.88484231736135, 464.6938968211427, 469.39378692652264, 473.9894123953401, 478.4853480279254, 482.885871924672, 487.1949907284276, 491.41646222794, 495.5538156476285, 499.61036990307144, 503.5892500629244, 507.4934022252109, 511.3256069884023, 515.0884916740288, 518.7845414375417, 522.4161093869637, 525.9854258140399, 529.4946066299934, 532.9456610868938, 536.3404988562455, 539.6809365281167, 542.968703586981, 546.2054479140911, 549.392740860896, 552.5320819330096, 555.6249031202514, 558.6725729043739, 561.676399972938, 564.6376366648886, 567.1609257497354, 569.6541612938445, 572.1180549370083, 574.58194858, 576.74605511, 576.78263111, 576.81920711, 576.85578311]","[433.1058648, 446.57772000000006, 459.8968704, 473.1419544, 486.67080720000007, 498.71345520000006, 510.7219656, 522.448536, 533.5868424, 544.4813088000001, 555.0895680000001, 564.0467256000001, 571.6819656, 579.3062328000001, 586.6689816, 590.2080144, 592.4595720000001, 594.9583224, 597.4134864, 597.7054848, 597.7054848, 597.7054848, 597.7054848, 597.7054848, 597.7057896, 597.7054848, 597.70518, 597.7048752000001, 597.7048752000001, 597.7048752000001, 597.7048752000001, 597.7048752000001, 597.7048752000001, 597.7048752000001, 597.7048752000001, 597.7048752000001, 597.7048752000001, 597.7048752000001, 597.7048752000001, 597.7048752000001, 597.7048752000001, 597.7048752000001, 597.7048752000001, 597.7048752000001, 597.7048752000001, 597.7048752000001, 597.7048752000001, 597.7103616, 597.7167624]","[389.1058512, 401.1692256, 412.2182256, 424.5903624, 437.5303416, 450.0725568, 462.4477416, 475.1551584, 487.0771056, 500.2999392, 512.9345088, 525.5480472, 537.3535608000001, 548.4238968, 558.0363744, 565.7063616, 571.9971288, 577.0400448, 580.906128, 583.7051064, 585.8320008000001, 587.4337248, 588.323436, 588.3743376000001, 588.4249344, 588.4755312, 588.526128, 588.5767248000001, 588.6270168000001, 588.6776136, 588.7282104, 588.7788072000001, 588.8294040000001, 588.8796960000001, 588.9302928, 588.9808896000001, 589.0314864000001, 589.0820832, 589.1320704, 589.1976024, 589.4088288, 589.751424, 590.094324, 590.4369192, 590.7795144, 591.1224144, 591.4650096, 591.8076048, 592.1505048, 592.4934048, 592.836, 593.1789, 593.5214952, 593.8640904, 594.2069904, 594.5495856, 594.8921808, 595.2350808000001, 595.577676, 595.920576, 596.263476, 596.6060712, 597.5637528, 602.4771288000001, 607.5974640000001, 613.2716208, 621.7173240000001]"
6,"[-0.59392058922, -2.0, -2.0, 0.14235764972, 0.14151206636, 0.14073744515, 0.14002601153, 0.13937103249, 0.13876665281, 0.13820776071, 0.13768987696, -0.079287211178, 3.0, 3.0, 2.652309645, -2.0, 0.14723095306]","[13.024104, 11.435030203264796, 8.638678925395594, 6.129441933766804, 5.952103243078486, 5.784877729364251, 5.626916685383494, 5.4774643874460365, 5.335845638817962, 5.201455271172992, 5.073749253061487, 4.952237124638017, 4.619979258683163, 3.866569621, 6.7212107132, 9.2124949731, 7.065264, 7.065264]","[389.6386416, 401.0736718032648, 409.7123507286604, 415.8417926624272, 421.79389590550574, 427.57877363487, 433.2056903202535, 438.68315470769954, 444.0190003465175, 449.2204556176905, 454.29420487075197, 459.24644199539, 463.86642125407315, 467.732990921, 474.454201634, 483.66669660700006, 490.73196061000004, 497.79722461000006]","[583.4502936, 583.5374664, 583.6246392, 583.711812, 524.7918384000001, 533.7995928, 541.5604104, 549.3754824, 556.0185984000001, 562.5352224000001, 568.7260152, 574.9225992, 581.2219008000001, 587.7010344, 593.9433384, 600.4450272, 607.3682544000001, 614.420412]","[389.6386416, 403.1217744, 413.9668632, 426.9236064, 443.0332008, 457.1789688, 471.2509752, 484.4335752, 498.1730448, 510.3763224, 522.2455392, 533.6478024, 544.2999528, 554.9810592, 565.5658488, 576.0335952, 586.6004016, 596.50884, 605.3718144000001, 613.9476672, 623.1133080000001, 632.2780344]"
7,"[-2.0, -2.0, 0.14325117509, 0.14232842063, 0.14148532413, 0.14071291364, 0.14000345211, 0.13935023801, 0.13874744275, 0.13818997717, 0.13767338132, 3.0, 3.0, 3.0, 2.2064770376, 0.18048646559]","[11.661648000000001, 8.838524834985842, 6.3114228580903395, 6.123397604072466, 5.946408493339431, 5.7795028167875, 5.621835169626499, 5.472652682440372, 5.331282635879547, 5.197122020547821, 5.069628693555687, 4.948313853023873, 3.866569621, 6.7212107132, 9.557628628, 11.5836192, 11.5836192]","[389.9867232, 398.8252480349858, 405.13667089307614, 411.2600684971486, 417.20647699048806, 422.98597980727556, 428.60781497690203, 434.0804676593424, 439.41175029522196, 444.60887231576976, 449.67850100932543, 454.6268148623493, 458.49338452099994, 465.21459523399994, 474.772223862, 486.35584306199996, 497.93946225999997]","[413.2441824, 424.1523648, 436.7146968, 449.4845976, 462.1121568, 474.1005504, 508.23540720000005, 519.5200176000001, 508.76911200000006, 519.8406672, 530.402292, 540.8206608, 551.7742584, 562.9424352, 573.9987504000001, 586.0606008, 597.9157968000001]","[389.9867232, 402.1390992, 413.3664072, 424.580304, 437.0865528, 449.7915312, 461.7052488, 473.1337248, 483.8831064, 494.925096, 505.87899840000006, 517.0371168, 527.3570352, 537.3325296, 547.5149832000001, 557.9181120000001, 568.8735384, 579.9478368, 591.3293736, 602.2966872000001, 614.3222664, 626.4002712]"
