,uHost,vHost,sHost,sLead_new,sTest_new
0,"[0.13784161046, 0.13735002944, 0.13689304389, 0.13646746442, 0.13607046244, 0.13569952211, 0.13535239958, 0.13502708836, 0.13472178971, 0.13443488725, 0.13416492519, 0.13391058947, 0.13367069145, 0.13344415384, 0.1332299983, 0.13302733475, 0.13283535195, 0.13265330922, 0.13248052921, 0.13231639148, 0.13216032685, 0.13201181237, 0.1318703669, 0.13173554712, 0.13160694406, 0.13148417989, 0.13136690515, 0.1312547962, 0.13114755297, 0.13104489695, 0.13094656931, 0.13085232927, 0.1307619526, 0.1306752303, 0.13059196734, 0.13051198155, 0.13043510264, 0.13036117126, 0.13029003818, 0.1302215635, 0.130155616, 0.13009207246, 0.1300308171, 0.12997174105, 0.12991474184, 0.12985972298, 0.12980659353, 0.12975526771, 0.12970566457, 0.12965770768, 0.12961132478, 0.12956644756, 0.12952301137, 0.12948095502, 0.12944022052, 0.12940075291, 0.12936250007, 0.12932541252, 0.12928944329, 0.12925454776, 0.12922068352, 0.12918781023, 0.1291558895, 0.057354721363, -0.42595194844, 0.1065236067, -0.046548973816, 0.029407102203, -0.013186186796, 0.1278377232, 0.12783516338, 0.1278326354, 0.12783013875, 0.12782767291, 0.12782523738, 0.12782283165, 3.0, 2.2836245326, -2.0, 2.0018925228, 0.14051672401]","[5.111496, 4.988169138950711, 4.870721586810313, 4.758739581881401, 4.651847507455927, 4.549703576693283, 4.451996092297607, 4.3584401933220756, 4.268775016502701, 4.1827612115816555, 4.10017876001945, 4.020825054690407, 3.944513204678522, 3.87107053491272, 3.800337255028902, 3.7321652754027137, 3.666417151796086, 3.6029651425108677, 3.541690364253977, 3.4824820348880374, 3.425236792744001, 3.369858083616883, 3.3162556076785856, 3.26434481961306, 3.214046476023386, 3.16528622504831, 3.117994233548388, 3.072104847998097, 3.027556285509348, 2.984290351939238, 2.9422521843604805, 2.9013900153999774, 2.8616549573678784, 2.8230008042351007, 2.7853838497943837, 2.7487627204175595, 2.713098221088639, 2.6783531935254157, 2.6444923852478106, 2.6114823286532416, 2.5792912291751153, 2.547888861806643, 2.517246475184576, 2.487336702655073, 2.458133479719139, 2.42961196730551, 2.401748480443014, 2.374520421851173, 2.347906220062014, 2.321885271744525, 2.2964378878972087, 2.271545243545705, 2.247189330782215, 2.2233529148063305, 2.200019492812089, 2.177173255435209, 2.154799050645122, 2.132882349871794, 2.11140921618366, 2.0903662744276077, 2.06974068315348, 2.0495201082081738, 2.029692697874842, 2.010247059462606, 1.9194020738337956, 1.3470763738842075, 1.3167884438555295, 1.1338406169243136, 1.029142057303095, 0.883008530394527, 0.8793281608678211, 0.87567840688984, 0.8720588874885813, 0.868469228009873, 0.8649090599665287, 0.8613780209211582, 0.8578757543422628, 3.866569621, 6.0084162662, 3.8749602013, 5.736336, 5.736336]","[389.1537048, 394.1418739389507, 399.012595525761, 403.7713351076424, 408.42318261509837, 412.97288619179164, 417.4248822840893, 421.78332247741133, 426.05209749391406, 430.2348587054957, 434.33503746551514, 438.35586252020556, 442.3003757248841, 446.1714462597968, 449.97178351482574, 453.7039487902285, 457.3703659420246, 460.97333108453546, 464.5150214487894, 467.99750348367746, 471.42274027642145, 474.7925983600383, 478.1088539677169, 481.37319878733, 484.5872452633534, 487.7525314884017, 490.8705257219501, 493.9426305699482, 496.97018685545754, 499.9544772073968, 502.8967293917573, 505.79811940715723, 508.6597743645251, 511.4827751687602, 514.2681590185546, 517.0169217389721, 519.7300199600608, 522.4083731535861, 525.0528655388339, 527.6643478674871, 530.2436390966623, 532.7915279584689, 535.3087744336535, 537.7961111363086, 540.2542446160277, 542.6838565833332, 545.0856050637761, 547.4601254856273, 549.8080317056892, 552.1299169774338, 554.4263548653311, 556.6979001088768, 558.945089439659, 561.1684423544654, 563.3684618472774, 565.5456351027127, 567.7004341533578, 569.8333165032296, 571.9447257194133, 574.035091993841, 576.1048326769944, 578.1543527852026, 580.1840454830774, 582.19429254254, 584.1136946163738, 585.460770990258, 586.7775594341135, 587.9114000510378, 588.940542108341, 589.8235506387355, 590.7028787996032, 591.5785572064931, 592.4506160939817, 593.3190853219916, 594.1839943819581, 595.0453724028793, 595.9032481572215, 599.76981742, 605.77823369, 609.65319389, 615.38952989, 621.12586589]","[455.71105200000005, 465.2817720000001, 474.922596, 546.6313680000001, 558.8745744, 507.1222776, 517.9307904000001, 528.6445104, 539.5712856, 550.6215048, 559.1973576, 567.13374, 573.6451824000001, 578.1101976, 582.5788704, 587.0475432000001, 591.2827392, 594.2475288, 596.879172, 599.7674568, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.739464, 601.9065432, 603.0638688, 605.4681312, 608.5642896, 613.0302192, 618.8598240000001, 626.0817552000001, 633.4240824000001]","[389.1537048, 395.2015464, 402.1625688, 409.0592784, 415.096452, 422.2967424, 430.5982752, 439.2210672, 447.388488, 454.7804976, 462.1755552, 469.4852688, 477.0126096, 484.20375600000006, 491.65611600000005, 499.29409920000006, 506.6669064, 514.1506608000001, 521.6243568, 529.7097864, 537.6681144, 545.1701568, 551.8367424, 558.5036328000001, 564.757824, 569.2304592, 573.7841712, 578.036436, 580.7549472000001, 583.4356632, 586.1200368, 588.0482016, 589.4999640000001, 590.9459352, 590.9727576, 590.9943984, 591.016344, 591.0382896000001, 591.0602352000001, 591.081876, 591.1038216000001, 591.1257672, 591.147408, 591.1693536, 591.1909944, 591.21294, 591.2345808, 591.2565264, 591.2781672, 591.3001128000001, 591.3220584, 591.344004, 591.3659496, 591.3875904, 591.409536, 591.4314816000001, 591.4531224, 591.4750680000001, 591.4967088000001, 591.5186544000001, 591.5402952000001, 591.5622408, 591.5841864, 591.6058272, 591.6277728, 591.6494136, 591.6713592000001, 591.693, 591.7149456, 591.7368912000001, 591.7585320000001, 591.7804776, 591.8021184, 591.824064, 591.8457048, 591.8676504, 591.8892912, 592.2605376, 594.091776, 596.245188, 598.4190216000001, 600.8168832, 603.2147448000001, 605.5479888, 609.1449336000001, 615.6103512000001, 622.0590048, 628.5207648]"
1,"[-1.3239374827, -2.0, 0.15116565166, 0.14947044594, 0.14795327595, -0.13622976484, 0.14389103922, -1.3648163642, 0.13570493605, 0.13535746966, 0.13503184324, 0.1347262551, 0.1344390863, 0.13416887877, 0.13391431642, 0.13367420886, 0.13344747718, 0.13323314166, 0.13303031095, 0.13283817269, 0.13265598518, 0.13248307017, 0.13231880641, 0.13216262398, 0.13201399927, 3.0, 3.0, 3.0, 0.96421958892, 0.16982421689]","[12.697968, 10.421785494259002, 7.7387098979686515, 7.456027504168002, 7.1936197706685565, 6.949357390352068, 6.438581819710073, 6.242903790702223, 4.551210872174035, 4.4534386369851635, 4.359822099847345, 4.270100054736241, 4.184032843734578, 4.101400171536724, 4.021999181462107, 3.945642757078184, 3.8721580191492326, 3.801384992047446, 3.7331754177783285, 3.6673916987701616, 3.6039059534552407, 3.5425991707211093, 3.4833604514485006, 3.426086326736935, 3.370680143929169, 3.317051512681175, 3.866569621, 6.7212107132, 9.557628628, 10.352024, 10.352024]","[389.8891872, 400.31097269425896, 408.0496825922276, 415.5057100963956, 422.69932986706414, 429.6486872574162, 436.0872690771263, 442.3301728678285, 446.8813837400025, 451.33482237698763, 455.694644476835, 459.9647445315712, 464.1487773753058, 468.25017754684256, 472.27217672830466, 476.21781948538285, 480.0899775045321, 483.8913624965796, 487.6245379143579, 491.2919296131281, 494.89583556658334, 498.4384347373045, 501.921795188753, 505.3478815154899, 508.7185616594191, 512.0356131721003, 515.90218282, 522.6233935299999, 532.18102216, 542.5330461599999, 552.8850701599999]","[426.8321664, 442.1203248000001, 455.6324136, 469.2856248000001, 481.84643280000006, 537.024072, 505.70404320000006, 537.4831008, 537.7126152, 537.9421296, 538.1713392, 538.4008536, 538.6303680000001, 538.8598824000001, 539.089092, 539.3186064, 539.560008, 539.805372, 540.0504312, 540.2951856000001, 540.6356472, 542.7101160000001, 544.8748056000001, 547.0355328, 550.8912528, 557.335944, 564.3109872, 572.8600176, 581.6742240000001, 592.0441296, 601.5261528]","[389.8891872, 402.7026744, 414.32439360000006, 427.1616552, 440.8743024, 453.8886528, 465.6578952, 477.33661200000006, 487.562652, 498.3486096, 506.3011464000001, 514.3746888, 521.852652, 526.3542432, 528.626832, 530.688804, 531.217632, 531.3977688, 531.577296, 531.7559088, 531.9345216, 532.8656856, 534.422604, 536.1026616, 537.7839384, 541.3046832, 546.6661152, 552.210732, 560.3754096, 568.6571304, 578.1324480000001, 587.6928048, 597.7365744, 608.5450872, 618.7909392, 629.0331336]"
2,"[0.1810901443, 0.14072451392, 0.0089551514597, 0.16489531406, 0.16154187943, -2.0, 0.14342354727, 0.14248565275, 0.14162915042, 0.14084482568, 0.14012473864, 0.13946201728, 0.13885068899, 0.13828554235, 0.13776201322, 0.13727609017, 0.13682423585, 0.13640332104, 0.13601056922, 0.13564350976, 0.13529993825, 3.0, 3.0, 3.0, -1.2964754218, 0.15347320613]","[11.649456, 11.0088766741133, 10.402171436301023, 9.730140124812337, 9.283250968617567, 8.876468890682869, 6.345928800354326, 6.15584197500697, 5.976972368079087, 5.808346529109816, 5.649101213924178, 5.498468139799329, 5.355761213168909, 5.220365772908032, 5.091729486347201, 4.969354608287967, 4.852791369880994, 4.741632309113974, 4.635507389499235, 4.534079781672994, 4.437042204906994, 4.344113743491854, 3.866569621, 6.7212107132, 9.557628628, 8.10768, 8.10768]","[389.5124544000001, 400.5213310741134, 410.92350251041444, 420.6536426352268, 429.93689360384434, 438.8133624945272, 445.15929129488154, 451.3151332698885, 457.2921056379676, 463.10045216707744, 468.7495533810016, 474.24802152080093, 479.60378273396987, 484.8241485068779, 489.91587799322514, 494.8852326015131, 499.7380239713941, 504.4796562805081, 509.11516367000735, 513.6492434516804, 518.0862856565874, 522.4303994000793, 526.2969690200001, 533.01817973, 542.5758083600001, 550.6834883600001, 558.79116836]","[425.5163448, 439.1719944, 452.2177392, 465.03366480000005, 478.9041984, 553.048932, 553.0891656, 553.1293992000001, 553.1696328, 553.2095616, 553.2497952, 553.2900288000001, 553.3299576000001, 553.3656192, 554.2413096, 555.4687392000001, 556.6961688, 557.9202456, 561.1849584, 565.8011544000001, 570.422532, 576.2484792, 582.4243368, 590.1625992, 597.5219952, 605.3093304, 613.2902136]","[389.5124544000001, 401.1957432, 412.3751976, 423.063924, 435.2608008, 448.04838, 460.4869632000001, 472.77345120000007, 484.371396, 495.3582168, 506.230128, 517.2617544000001, 526.6489848000001, 533.4637032, 538.2737520000001, 543.0908112000001, 545.7782328000001, 548.1763992, 550.5477432, 554.1748632, 558.3298968, 562.4806632000001, 566.95086, 573.0090648, 580.6574112000001, 588.2600376, 595.6660680000001, 602.6807352000001, 610.2592824000001, 618.343188, 626.4792144, 634.6146312000001]"
3,"[0.19043433306, -2.0, -2.0, 0.14410186545, 0.14310361302, 0.14219375505, 0.14136208497, 0.14059983557, 0.13989944104, 0.13925434398, 0.1386588376, 0.13810793621, 0.13759726812, 0.13712298681, 0.13668169669, 0.13627039089, 0.13588639891, 0.13552734228, 0.13519109693, 0.13487576114, 0.13457962805, 0.13430116216, 0.134038979, 3.0, 3.0, 0.9669318042, -2.0, 0.13903486151]","[12.624816000000001, 11.87248017661931, 9.023978248254899, 6.47993240189815, 6.28173289117286, 6.095472479499474, 5.920093969135908, 5.754662232841032, 5.598346999474467, 5.450408484610988, 5.31018533062506, 5.17708443291708, 5.050572315892767, 4.930167789133564, 4.815435666825708, 4.705981374443448, 4.601446299421578, 4.501503768470898, 4.405855554827031, 4.31422883553006, 4.226373532350706, 4.142059980871902, 4.061076881403714, 3.9832294925765908, 3.866569621, 6.7212107132, 7.5381858815, 5.399151, 5.399151]","[389.0662272, 400.93870737661933, 409.9626856248742, 416.4426180267724, 422.72435091794523, 428.8198233974447, 434.7399173665806, 440.4945795994216, 446.0929265988961, 451.5433350835071, 456.85352041413216, 462.03060484704923, 467.081177162942, 472.0113449520756, 476.8267806189013, 481.53276199334476, 486.13420829276635, 490.63571206123726, 495.0415676160643, 499.35579645159436, 503.58216998394505, 507.72422996481697, 511.7853068462207, 515.7685363387973, 519.63510582, 526.35631653, 533.89450242, 539.29365342, 544.69280442]","[558.7407672, 558.7703328, 558.8075184, 558.8459232, 558.8837184, 558.9218184, 558.9599184, 559.0199640000001, 559.1043936000001, 559.1876040000001, 559.2699, 559.3464048000001, 559.4219952000001, 559.4981952, 559.5740904, 559.6499856, 559.725576, 559.8014712, 559.8773664, 561.2459184, 565.7033136, 570.0238536, 574.4617416000001, 578.8968864000001, 584.1680976, 589.6160928, 595.2737904, 600.3014664]","[389.0662272, 402.0135216000001, 413.8354944, 425.939712, 437.9402976, 449.7982368, 461.2952928, 468.3337344, 472.6658568, 476.998284, 481.3304064, 485.07914160000007, 489.4225416000001, 493.7421672, 497.4863304, 499.6818048, 502.9227432, 508.55453280000006, 514.3628016, 520.1216928, 525.7870104, 531.9467136000001, 538.449012, 545.1491256, 551.8498488, 559.1269488, 566.9468975999999, 574.7266128, 581.8881936, 588.9967392, 597.0388872, 606.2161104, 615.7837824000001, 624.8619456, 634.2147336]"
4,"[-2.0, -2.0, 0.14468825904, 0.14363684252, 0.14268010194, 0.14180692484, 0.14100779114, -0.36647327352, 0.1374893034, 0.13702260086, 0.13658819258, 0.13618315036, 0.13580487187, 0.13545103797, 0.13511957638, 0.13480863073, 0.13451653398, 0.1342417857, 0.13398303238, 0.13373905045, 0.13350873157, 0.13329106979, 0.1330851504, 3.0, 3.0, 3.0, -1.3864524479, 0.15290418002]","[12.015215999999999, 9.149274223431016, 6.593581614295791, 6.38836883622411, 6.195730999672102, 6.014535780459193, 5.843783759308693, 5.682589377305989, 5.023417309115706, 4.90430404040659, 4.790772534142736, 4.682436550863932, 4.578944872598966, 4.479977405088977, 4.385241791013883, 4.2944704574670265, 4.207418033945266, 4.123859087498486, 4.0435861304924625, 3.966407863258171, 3.8921476199027127, 3.8206419903487743, 3.751739595623201, 3.6852999968731286, 3.866569621, 6.7212107132, 9.557628628, 8.018272, 8.018272]","[389.3917536, 398.541027823431, 405.1346094377268, 411.5229782739509, 417.718709273623, 423.7332450540822, 429.5770288133909, 435.25961819069687, 440.28303549981257, 445.18733954021917, 449.9781120743619, 454.66054862522583, 459.2394934978248, 463.71947090291377, 468.10471269392764, 472.39918315139465, 476.6066011853399, 480.7304602728384, 484.7740464033309, 488.74045426658904, 492.6326018864917, 496.4532438768405, 500.20498347246365, 503.8902834693368, 507.75685322000004, 514.47806393, 524.03569256, 532.05396456, 540.07223656]","[401.1957432, 412.3751976, 423.063924, 435.2608008, 448.04838, 460.4869632000001, 472.77345120000007, 553.1696328, 553.2095616, 553.2497952, 553.2900288000001, 526.6489848000001, 533.4637032, 538.2737520000001, 543.0908112000001, 545.7782328000001, 548.1763992, 550.5477432, 554.1748632, 558.3298968, 562.4806632000001, 566.95086, 573.0090648, 580.6574112000001, 588.2600376, 595.6660680000001, 602.6807352000001, 610.2592824000001]","[389.3917536, 401.4968856, 413.0759328, 424.226736, 435.1931352, 446.3975832, 457.274676, 468.0810552, 478.9755216, 488.6489592, 499.2270432, 508.7474712, 517.216644, 524.0792160000001, 530.455632, 536.04414, 538.986984, 540.9553824000001, 542.921952, 545.9294136, 550.4380152, 555.0091008, 559.5804912, 564.4633872, 571.5405384000001, 578.7393048, 585.9258792, 593.0649048, 601.496892, 610.3153656000001, 619.2460056, 628.0202832000001]"
5,"[-2.0, -0.50932683385, 0.15149430853, 0.14976384518, 0.14821632582, 0.14682663991, 0.14557386781, 0.14444046458, 0.14341162415, 3.0, -1.5265063674, 0.1456686401, 0.14452634424, 0.14348969768, 0.1425459715, 0.1416843079, 0.14089539818, 0.14017122377, 0.13950484664, 0.13889023839, 0.13832214031, -0.4844814329, 0.063962202726, -0.76269398761, 0.1316076147, 0.13148482032, 0.13136751715, 0.13125538144, 0.13114811301, 0.1310454332, 0.13094708311, -0.22150216642, 0.1300154671, 0.12995693305, -0.049957089449, 0.12951478845, 0.12947299165, 0.12943250586, 0.12939327669, 0.022121834031, -0.44949549865, 0.12832978271, -0.058945749733, 0.12811480174, 0.12811480174, 0.12811480174, -1.0531695948, 0.12753052799]","[11.649456, 8.827786529813299, 7.7923280437345, 7.505714913724571, 7.239798125382695, 6.992389668639374, 6.761601855353513, 6.545797196363284, 6.343548039951378, 6.1536038150981875, 8.832389472963005, 6.77933567094768, 6.562397535381789, 6.35912125830481, 6.1682432740410205, 5.988652254884178, 5.819366732388789, 5.659516570188028, 5.5083275338342546, 5.365108368069639, 5.229239916983391, 5.100165918877964, 4.355107800754621, 4.194526258880365, 3.2143108140625545, 3.1655425422197574, 3.118242891233433, 3.0723461860986374, 3.0277906240447616, 2.984517992494171, 2.942473411358817, 2.9016050973397185, 2.5095091596364316, 2.479782973175718, 2.4507568539609723, 2.2425487254178056, 2.218810655571039, 2.1955724754857417, 2.1728185054078706, 2.1505337162178813, 2.021470277445936, 1.4235436294045003, 1.4139782281741313, 1.2172761227530893, 1.2172761228, 1.2172761228, 1.2172761228, 0.036576, 0.036576]","[389.1058512, 397.9336377298133, 405.72596577354784, 413.2316806872724, 420.4714788126551, 427.46386848129447, 434.22547033664796, 440.77126753301127, 447.11481557296264, 453.2684193880608, 462.10080886102384, 468.8801445319715, 475.44254206735326, 481.80166332565807, 487.9699065996991, 493.95855885458326, 499.77792558697206, 505.4374421571601, 510.9457696909943, 516.310878059064, 521.5401179760473, 526.6402838949253, 530.9953916956799, 535.1899179545603, 538.4042287686228, 541.5697713108426, 544.688014202076, 547.7603603881747, 550.7881510122195, 553.7726690047136, 556.7151424160725, 559.6167475134122, 562.1262566730486, 564.6060396462243, 567.0567965001853, 569.2993452256031, 571.5181558811742, 573.7137283566599, 575.8865468620678, 578.0370805782857, 580.0585508557316, 581.4820944851361, 582.8960727133103, 584.1133488360634, 585.33062496, 586.54790108, 587.7651772, 587.8017532, 587.8383292]","[433.1058648, 446.57772000000006, 459.8968704, 473.1419544, 486.67080720000007, 498.71345520000006, 510.7219656, 522.448536, 533.5868424, 544.4813088000001, 555.0895680000001, 564.0467256000001, 571.6819656, 579.3062328000001, 586.6689816, 590.2080144, 592.4595720000001, 594.9583224, 597.4134864, 597.7054848, 597.7054848, 597.7054848, 597.7054848, 597.7054848, 597.7057896, 597.7054848, 597.70518, 597.7048752000001, 597.7048752000001, 597.7048752000001, 597.7048752000001, 597.7048752000001, 597.7048752000001, 597.7048752000001, 597.7048752000001, 597.7048752000001, 597.7048752000001, 597.7048752000001, 597.7048752000001, 597.7048752000001, 597.7048752000001, 597.7048752000001, 597.7048752000001, 597.7048752000001, 597.7048752000001, 597.7048752000001, 597.7048752000001, 597.7103616, 597.7167624]","[389.1058512, 401.1692256, 412.2182256, 424.5903624, 437.5303416, 450.0725568, 462.4477416, 475.1551584, 487.0771056, 500.2999392, 512.9345088, 525.5480472, 537.3535608000001, 548.4238968, 558.0363744, 565.7063616, 571.9971288, 577.0400448, 580.906128, 583.7051064, 585.8320008000001, 587.4337248, 588.323436, 588.3743376000001, 588.4249344, 588.4755312, 588.526128, 588.5767248000001, 588.6270168000001, 588.6776136, 588.7282104, 588.7788072000001, 588.8294040000001, 588.8796960000001, 588.9302928, 588.9808896000001, 589.0314864000001, 589.0820832, 589.1320704, 589.1976024, 589.4088288, 589.751424, 590.094324, 590.4369192, 590.7795144, 591.1224144, 591.4650096, 591.8076048, 592.1505048, 592.4934048, 592.836, 593.1789, 593.5214952, 593.8640904, 594.2069904, 594.5495856, 594.8921808, 595.2350808000001, 595.577676, 595.920576, 596.263476, 596.6060712, 597.5637528, 602.4771288000001, 607.5974640000001, 613.2716208, 621.7173240000001]"
6,"[-0.99246892084, -2.0, 0.15462654698, 0.15254842876, 0.15070329423, 0.1490572856, 0.14758251807, 0.14625585229, 0.14505795248, 0.14397255658, -1.9136265107, 0.1338968184, 3.0, 3.0, 2.6523096449, -2.0, 0.14723095306]","[13.024104, 11.036481871644796, 8.285939375409065, 7.961864673535963, 7.662644265607987, 7.385491666594525, 7.128025330843204, 6.888197214688435, 6.66423602130766, 6.454601709693212, 6.257948732973788, 4.016483688912208, 3.9403365408119866, 3.866569621, 6.7212107132, 9.2124949731, 7.065264, 7.065264]","[389.6386416, 400.67512347164484, 408.9610628470539, 416.92292752058984, 424.5855717861978, 431.97106345279235, 439.0990887836356, 445.987285998324, 452.65152201963167, 459.1061237293249, 465.3640724622987, 469.3805561512109, 473.3208926920229, 477.187462321, 483.908673034, 493.12116801, 500.18643201000003, 507.25169601000005]","[583.4502936, 583.5374664, 583.6246392, 583.711812, 524.7918384000001, 533.7995928, 541.5604104, 549.3754824, 556.0185984000001, 562.5352224000001, 568.7260152, 574.9225992, 581.2219008000001, 587.7010344, 593.9433384, 600.4450272, 607.3682544000001, 614.420412]","[389.6386416, 403.1217744, 413.9668632, 426.9236064, 443.0332008, 457.1789688, 471.2509752, 484.4335752, 498.1730448, 510.3763224, 522.2455392, 533.6478024, 544.2999528, 554.9810592, 565.5658488, 576.0335952, 586.6004016, 596.50884, 605.3718144000001, 613.9476672, 623.1133080000001, 632.2780344]"
7,"[-2.0, -2.0, 0.14325117509, 0.14232842063, 0.14148532413, 0.14071291364, 0.14000345211, 0.13935023801, -1.0652855221, 0.13382286536, 3.0, 3.0, 3.0, 3.0, 2.2064770376, 0.18048646559]","[11.661648000000001, 8.838524834985842, 6.3114228580903395, 6.123397604072466, 5.946408493339431, 5.7795028167875, 5.621835169626499, 5.472652682440372, 5.331282635879547, 3.993089055697821, 3.917826385971603, 6.711786233129237, 3.866569621, 6.7212107132, 9.557628628, 11.5836192, 11.5836192]","[389.9867232, 398.8252480349858, 405.13667089307614, 411.2600684971486, 417.20647699048806, 422.98597980727556, 428.60781497690203, 434.0804676593424, 439.41175029522196, 443.40483935091976, 447.32266573689134, 454.0344519700206, 457.901021621, 464.622232334, 474.17986096199996, 485.76348016199995, 497.34709935999996]","[413.2441824, 424.1523648, 436.7146968, 449.4845976, 462.1121568, 474.1005504, 508.23540720000005, 519.5200176000001, 508.76911200000006, 519.8406672, 530.402292, 540.8206608, 551.7742584, 562.9424352, 573.9987504000001, 586.0606008, 597.9157968000001]","[389.9867232, 402.1390992, 413.3664072, 424.580304, 437.0865528, 449.7915312, 461.7052488, 473.1337248, 483.8831064, 494.925096, 505.87899840000006, 517.0371168, 527.3570352, 537.3325296, 547.5149832000001, 557.9181120000001, 568.8735384, 579.9478368, 591.3293736, 602.2966872000001, 614.3222664, 626.4002712]"
