,uHost,vHost,sHost,sLead_new,sTest_new
0,"[0.13784161046, 0.13735002944, 0.13689304389, 0.13646746442, 0.13607046244, 0.13569952211, 0.13535239958, 0.13502708836, 0.13472178971, 0.13443488725, 0.13416492519, 0.13391058947, 0.13367069145, 0.13344415384, 0.1332299983, 0.13302733475, 0.13283535195, 0.13265330922, 0.13248052921, 0.13231639148, 0.13216032685, 0.13201181237, 0.1318703669, 0.13173554712, 0.13160694406, 0.13148417989, 0.13136690515, 0.1312547962, 0.13114755297, 0.13104489695, 0.13094656931, 0.13085232927, 0.1307619526, 0.1306752303, 0.13059196734, 0.13051198155, 0.13043510264, 0.13036117126, 0.13029003818, 0.1302215635, 0.130155616, 0.13009207246, 0.1300308171, 0.12997174105, 0.12991474184, 0.12985972298, 0.12980659353, 0.12975526771, 0.12970566457, 0.12965770768, 0.12961132478, 0.12956644756, 0.12952301137, 0.12948095502, 0.12944022052, 0.12940075291, 0.12936250007, 0.12932541252, 0.12928944329, 0.12925454776, 0.0350820279, -0.12652358339, -0.10200218054, -0.079788261412, -0.057604993037, -0.035771670774, -0.014922979528, 0.0041908794189, 0.041321974208, 0.12762800243, 0.12762754194, 0.12762708469, 0.12762663065, 0.12762617979, 0.12762573208, 0.1276252875, 0.086800908826, -0.28760087684, 2.9733655569, 3.0, 0.14051672401]","[5.111496, 4.988169138950711, 4.870721586810313, 4.758739581881401, 4.651847507455927, 4.549703576693283, 4.451996092297607, 4.3584401933220756, 4.268775016502701, 4.1827612115816555, 4.10017876001945, 4.020825054690407, 3.944513204678522, 3.87107053491272, 3.800337255028902, 3.7321652754027137, 3.666417151796086, 3.6029651425108677, 3.541690364253977, 3.4824820348880374, 3.425236792744001, 3.369858083616883, 3.3162556076785856, 3.26434481961306, 3.214046476023386, 3.16528622504831, 3.117994233548388, 3.072104847998097, 3.027556285509348, 2.984290351939238, 2.9422521843604805, 2.9013900153999774, 2.8616549573678784, 2.8230008042351007, 2.7853838497943837, 2.7487627204175595, 2.713098221088639, 2.6783531935254157, 2.6444923852478106, 2.6114823286532416, 2.5792912291751153, 2.547888861806643, 2.517246475184576, 2.487336702655073, 2.458133479719139, 2.42961196730551, 2.401748480443014, 2.374520421851173, 2.347906220062014, 2.321885271744525, 2.2964378878972087, 2.271545243545705, 2.247189330782215, 2.2233529148063305, 2.200019492812089, 2.177173255435209, 2.154799050645122, 2.132882349871794, 2.11140921618366, 2.0903662744276077, 2.06974068315348, 1.9553814525881736, 1.68177104048265, 1.4377721694913297, 1.2198804853718612, 1.0271339964490755, 0.8584361055539118, 0.712213906775883, 0.5862802702249605, 0.4983141345797776, 0.4971420254718818, 0.4959754238302022, 0.494814290897559, 0.49365858828013387, 0.4925082779428714, 0.4913633222049467, 0.49022368374529807, 0.44941488027, 0.034283539558, 2.876852724, 5.736336, 5.736336]","[389.1537048, 394.1418739389507, 399.012595525761, 403.7713351076424, 408.42318261509837, 412.97288619179164, 417.4248822840893, 421.78332247741133, 426.05209749391406, 430.2348587054957, 434.33503746551514, 438.35586252020556, 442.3003757248841, 446.1714462597968, 449.97178351482574, 453.7039487902285, 457.3703659420246, 460.97333108453546, 464.5150214487894, 467.99750348367746, 471.42274027642145, 474.7925983600383, 478.1088539677169, 481.37319878733, 484.5872452633534, 487.7525314884017, 490.8705257219501, 493.9426305699482, 496.97018685545754, 499.9544772073968, 502.8967293917573, 505.79811940715723, 508.6597743645251, 511.4827751687602, 514.2681590185546, 517.0169217389721, 519.7300199600608, 522.4083731535861, 525.0528655388339, 527.6643478674871, 530.2436390966623, 532.7915279584689, 535.3087744336535, 537.7961111363086, 540.2542446160277, 542.6838565833332, 545.0856050637761, 547.4601254856273, 549.8080317056892, 552.1299169774338, 554.4263548653311, 556.6979001088768, 558.945089439659, 561.1684423544654, 563.3684618472774, 565.5456351027127, 567.7004341533578, 569.8333165032296, 571.9447257194133, 574.035091993841, 576.1048326769944, 578.0602141295826, 579.7419851700653, 581.1797573395567, 582.3996378249285, 583.4267718213775, 584.2852079269314, 584.9974218337073, 585.5837021039323, 586.0820162385121, 586.579158263984, 587.0751336878142, 587.5699479787118, 588.0636065669919, 588.5561148449348, 589.0474781671397, 589.537701850885, 589.98711673, 590.02140027, 592.89825299, 598.63458899, 604.37092499]","[455.71105200000005, 465.2817720000001, 474.922596, 546.6313680000001, 558.8745744, 507.1222776, 517.9307904000001, 528.6445104, 539.5712856, 550.6215048, 559.1973576, 567.13374, 573.6451824000001, 578.1101976, 582.5788704, 587.0475432000001, 591.2827392, 594.2475288, 596.879172, 599.7674568, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.739464, 601.9065432, 603.0638688, 605.4681312, 608.5642896, 613.0302192, 618.8598240000001, 626.0817552000001, 633.4240824000001]","[389.1537048, 395.2015464, 402.1625688, 409.0592784, 415.096452, 422.2967424, 430.5982752, 439.2210672, 447.388488, 454.7804976, 462.1755552, 469.4852688, 477.0126096, 484.20375600000006, 491.65611600000005, 499.29409920000006, 506.6669064, 514.1506608000001, 521.6243568, 529.7097864, 537.6681144, 545.1701568, 551.8367424, 558.5036328000001, 564.757824, 569.2304592, 573.7841712, 578.036436, 580.7549472000001, 583.4356632, 586.1200368, 588.0482016, 589.4999640000001, 590.9459352, 590.9727576, 590.9943984, 591.016344, 591.0382896000001, 591.0602352000001, 591.081876, 591.1038216000001, 591.1257672, 591.147408, 591.1693536, 591.1909944, 591.21294, 591.2345808, 591.2565264, 591.2781672, 591.3001128000001, 591.3220584, 591.344004, 591.3659496, 591.3875904, 591.409536, 591.4314816000001, 591.4531224, 591.4750680000001, 591.4967088000001, 591.5186544000001, 591.5402952000001, 591.5622408, 591.5841864, 591.6058272, 591.6277728, 591.6494136, 591.6713592000001, 591.693, 591.7149456, 591.7368912000001, 591.7585320000001, 591.7804776, 591.8021184, 591.824064, 591.8457048, 591.8676504, 591.8892912, 592.2605376, 594.091776, 596.245188, 598.4190216000001, 600.8168832, 603.2147448000001, 605.5479888, 609.1449336000001, 615.6103512000001, 622.0590048, 628.5207648]"
1,"[-0.63062212672, -2.0, -1.4634178945, 0.14373395084, 0.14276858941, 0.1418877893, 0.14108188937, -0.047334706085, 0.13885520529, 0.13828972187, 0.13776588882, 0.13727969078, 0.13682758703, 0.060523714051, -0.17239283722, -0.014483437242, 0.12393362507, 0.10478220382, 0.13306008753, 0.13286639156, 0.13268275359, 0.13250848624, 0.13234296009, 0.13218559783, 0.13203586919, 3.0, 3.0, 3.0, 0.96421958892, 0.16982421689]","[12.697968, 11.115100850239001, 8.355650612445348, 6.407597667013631, 6.213798415014815, 6.031544885632121, 5.859825725562841, 5.697745128653498, 5.356829426080595, 5.2213799708720465, 5.0926936972659576, 4.970272467032757, 4.853666165297443, 4.742467024422629, 4.560422005754226, 4.154122713255139, 3.9238431446530595, 3.8414952895115166, 3.743266768988324, 3.6771269221428566, 3.6133036790704276, 3.551676746190249, 3.4921340507254475, 3.434571048048047, 3.378890098008321, 3.324999902450165, 3.866569621, 6.7212107132, 9.557628628, 10.352024, 10.352024]","[389.8891872, 401.004288050239, 409.3599386626843, 415.767536329698, 421.9813347447128, 428.0128796303449, 433.8727053559077, 439.5704504845612, 444.9272799106418, 450.1486598815138, 455.2413535787798, 460.2116260458126, 465.06529221111003, 469.80775923553267, 474.3681812412869, 478.52230395454205, 482.4461470991951, 486.2876423887066, 490.03090915769496, 493.7080360798378, 497.32133975890827, 500.8730165050985, 504.36515055582396, 507.799721603872, 511.1786117018803, 514.5036116043304, 518.37018082, 525.09139153, 534.64902016, 545.00104416, 555.35306816]","[426.8321664, 442.1203248000001, 455.6324136, 469.2856248000001, 481.84643280000006, 537.024072, 505.70404320000006, 537.4831008, 537.7126152, 537.9421296, 538.1713392, 538.4008536, 538.6303680000001, 538.8598824000001, 539.089092, 539.3186064, 539.560008, 539.805372, 540.0504312, 540.2951856000001, 540.6356472, 542.7101160000001, 544.8748056000001, 547.0355328, 550.8912528, 557.335944, 564.3109872, 572.8600176, 581.6742240000001, 592.0441296, 601.5261528]","[389.8891872, 402.7026744, 414.32439360000006, 427.1616552, 440.8743024, 453.8886528, 465.6578952, 477.33661200000006, 487.562652, 498.3486096, 506.3011464000001, 514.3746888, 521.852652, 526.3542432, 528.626832, 530.688804, 531.217632, 531.3977688, 531.577296, 531.7559088, 531.9345216, 532.8656856, 534.422604, 536.1026616, 537.7839384, 541.3046832, 546.6661152, 552.210732, 560.3754096, 568.6571304, 578.1324480000001, 587.6928048, 597.7365744, 608.5450872, 618.7909392, 629.0331336]"
2,"[0.1810901443, -1.7781571154, -0.68166802706, 0.14859633488, 0.14716840772, -0.85746013527, 0.13989051792, 0.13924611566, 0.13865123335, 0.13810089412, 0.1375907338, 0.13711691232, 0.13667603964, 0.13626511369, 0.13588146812, 0.13552272808, 0.13518677265, 0.13487170287, 0.13457581431, 0.13429757361, 0.13403559815, 3.0, 3.0, 3.0, -1.2964754218, 0.15347320613]","[11.649456, 11.0088766741133, 8.483289806981023, 7.305993272435435, 7.054039907300459, 6.819164551002418, 5.596327354389829, 5.448495560104341, 5.308370816809547, 5.175360865888051, 5.048932972259836, 4.928606595996659, 4.813947124623226, 4.704560490564669, 4.600088530872409, 4.500204972164264, 4.404611944357158, 4.313036943444311, 4.225230177128571, 4.14096223794267, 4.060022057631077, 3.9822151036948434, 3.866569621, 6.7212107132, 9.557628628, 8.10768, 8.10768]","[389.5124544000001, 400.5213310741134, 409.0046208810944, 416.31061415352985, 423.36465406083033, 430.18381861183275, 435.78014596622256, 441.2286415263269, 446.53701234313644, 451.71237320902446, 456.7613061812843, 461.68991277728094, 466.50385990190415, 471.20842039246884, 475.80850892334126, 480.30871389550555, 484.7133258398627, 489.02636278330704, 493.25159296043563, 497.3925551983783, 501.4525772560094, 505.43479235970426, 509.30136202000006, 516.0225727300001, 525.58020136, 533.6878813600001, 541.7955613600001]","[425.5163448, 439.1719944, 452.2177392, 465.03366480000005, 478.9041984, 553.048932, 553.0891656, 553.1293992000001, 553.1696328, 553.2095616, 553.2497952, 553.2900288000001, 553.3299576000001, 553.3656192, 554.2413096, 555.4687392000001, 556.6961688, 557.9202456, 561.1849584, 565.8011544000001, 570.422532, 576.2484792, 582.4243368, 590.1625992, 597.5219952, 605.3093304, 613.2902136]","[389.5124544000001, 401.1957432, 412.3751976, 423.063924, 435.2608008, 448.04838, 460.4869632000001, 472.77345120000007, 484.371396, 495.3582168, 506.230128, 517.2617544000001, 526.6489848000001, 533.4637032, 538.2737520000001, 543.0908112000001, 545.7782328000001, 548.1763992, 550.5477432, 554.1748632, 558.3298968, 562.4806632000001, 566.95086, 573.0090648, 580.6574112000001, 588.2600376, 595.6660680000001, 602.6807352000001, 610.2592824000001, 618.343188, 626.4792144, 634.6146312000001]"
3,"[0.41144403846, -2.0, -2.0, 0.14501337639, 0.14393209635, 0.14294906594, 0.14205265089, 0.14123289849, 0.14048125294, 0.13979032553, 0.13915370791, 0.13856581941, 0.13802178155, 0.13751731418, 0.13704864923, 0.13661245866, 0.13620579397, 0.13582603523, 0.135470848, 0.13513814664, 0.13482606304, 0.1345329199, 0.13425720772, 3.0, 3.0, 0.96693180419, -2.0, 0.13903486151]","[12.624816000000001, 12.09348988201931, 9.217895907470949, 6.6557565744481835, 6.446655392846596, 6.250486320488172, 6.0660742918317325, 5.892383387231388, 5.72849672130468, 5.57359973610676, 5.426966242734688, 5.287946696182315, 5.155958296039528, 5.030476588721441, 4.911028311144821, 4.797185266301001, 4.688559060678191, 4.584796564833653, 4.485575983455041, 4.390603441316441, 4.2996100075131976, 4.212349093552284, 4.128594171526832, 4.048136767184972, 3.866569621, 6.7212107132, 7.5381858815, 5.399151, 5.399151]","[389.0662272, 401.1597170820193, 410.3776129894903, 417.03336956393844, 423.48002495678503, 429.7305112772732, 435.79658556910493, 441.68896895633634, 447.417465677641, 452.9910654137478, 458.41803165648247, 463.7059783526648, 468.8619366487043, 473.8924132374257, 478.80344154857056, 483.6006268148716, 488.2891858755498, 492.87398244038343, 497.35955842383845, 501.7501618651549, 506.0497718726681, 510.2621209662204, 514.3907151377472, 518.4388519049321, 522.30542182, 529.02663253, 536.56481842, 541.96396942, 547.36312042]","[558.7407672, 558.7703328, 558.8075184, 558.8459232, 558.8837184, 558.9218184, 558.9599184, 559.0199640000001, 559.1043936000001, 559.1876040000001, 559.2699, 559.3464048000001, 559.4219952000001, 559.4981952, 559.5740904, 559.6499856, 559.725576, 559.8014712, 559.8773664, 561.2459184, 565.7033136, 570.0238536, 574.4617416000001, 578.8968864000001, 584.1680976, 589.6160928, 595.2737904, 600.3014664]","[389.0662272, 402.0135216000001, 413.8354944, 425.939712, 437.9402976, 449.7982368, 461.2952928, 468.3337344, 472.6658568, 476.998284, 481.3304064, 485.07914160000007, 489.4225416000001, 493.7421672, 497.4863304, 499.6818048, 502.9227432, 508.55453280000006, 514.3628016, 520.1216928, 525.7870104, 531.9467136000001, 538.449012, 545.1491256, 551.8498488, 559.1269488, 566.9468975999999, 574.7266128, 581.8881936, 588.9967392, 597.0388872, 606.2161104, 615.7837824000001, 624.8619456, 634.2147336]"
4,"[-2.0, -2.0, 0.14468825904, 0.14363684252, 0.14268010194, 0.14180692484, 0.14100779114, -0.93288446205, 0.13537001527, 0.13504360846, 0.13473730365, 0.1344494755, 0.1341786603, 0.13392353699, 0.13368291074, 0.13345569873, 0.13324091774, 0.13303767332, 0.13284515029, 0.13266260448, 0.1324893554, 0.13232477975, 0.13216830581, 3.0, 3.0, 3.0, -1.3864524479, 0.15290418002]","[12.015215999999999, 9.149274223431016, 6.593581614295791, 6.38836883622411, 6.195730999672102, 6.014535780459193, 5.843783759308693, 5.682589377305989, 4.457006120585706, 4.363239537940163, 4.273376780800527, 4.1871774291592665, 4.104420502132866, 4.024902524912634, 3.9484358225697034, 3.8748470101762287, 3.803975653352081, 3.7356730771245976, 3.6698013042452278, 3.6062321067795677, 3.5448461571580134, 3.4855322666385766, 3.4281867008060005, 3.3727125632673793, 3.866569621, 6.7212107132, 9.557628628, 8.018272, 8.018272]","[389.3917536, 398.541027823431, 405.1346094377268, 411.5229782739509, 417.718709273623, 423.7332450540822, 429.5770288133909, 435.25961819069687, 439.7166243112826, 444.07986384922276, 448.35324063002327, 452.5404180591825, 456.6448385613154, 460.66974108622804, 464.61817690879775, 468.49302391897396, 472.29699957232606, 476.03267264945066, 479.7024739536959, 483.30870606047546, 486.8535522176335, 490.33908448427206, 493.7672711850781, 497.13998374834546, 501.00655322, 507.72776393000004, 517.28539256, 525.30366456, 533.32193656]","[401.1957432, 412.3751976, 423.063924, 435.2608008, 448.04838, 460.4869632000001, 472.77345120000007, 553.1696328, 553.2095616, 553.2497952, 553.2900288000001, 526.6489848000001, 533.4637032, 538.2737520000001, 543.0908112000001, 545.7782328000001, 548.1763992, 550.5477432, 554.1748632, 558.3298968, 562.4806632000001, 566.95086, 573.0090648, 580.6574112000001, 588.2600376, 595.6660680000001, 602.6807352000001, 610.2592824000001]","[389.3917536, 401.4968856, 413.0759328, 424.226736, 435.1931352, 446.3975832, 457.274676, 468.0810552, 478.9755216, 488.6489592, 499.2270432, 508.7474712, 517.216644, 524.0792160000001, 530.455632, 536.04414, 538.986984, 540.9553824000001, 542.921952, 545.9294136, 550.4380152, 555.0091008, 559.5804912, 564.4633872, 571.5405384000001, 578.7393048, 585.9258792, 593.0649048, 601.496892, 610.3153656000001, 619.2460056, 628.0202832000001]"
5,"[-2.0, -2.0, 0.14320255046, 0.14228405223, 0.14144472606, 0.14067566777, 0.13996919697, 0.13931865983, 0.13871826805, 0.13816296666, 0.1376483249, 0.1371704456, 0.13672588961, 0.13631161245, 0.13592491101, 0.13556337849, 0.13522486607, 0.13490745038, 0.13460940558, 0.13432917943, 0.1340653727, 0.13381672135, 0.13358208112, 0.13336041411, 0.1331507771, 0.13295231138, 0.13276423375, 0.13258582867, 0.1324164414, 0.13225547183, 0.13210236911, 0.13195662686, 0.13181777892, 0.13168539559, 0.13155908019, 0.13143846614, 0.13132321417, 0.13121300998, 0.131107562, 0.13100659949, 0.13090987074, 0.13081714152, -0.05546857283, 0.13024374912, -0.32873811913, -2.0, 0.12753052789, 0.12753052799]","[11.649456, 8.827786529813299, 6.3016548775845, 6.11421117413352, 5.937752709481, 5.771332585842645, 5.61411039934529, 5.465337603532131, 5.324345231910167, 5.190533546058517, 5.063363264824675, 4.94234809901607, 4.827048369629236, 4.717065529937336, 4.612037445074008, 4.511634309336514, 4.415555102625663, 4.323524504439872, 4.235290197884952, 4.150620507133483, 4.069302321092032, 3.991139263537621, 3.915950076134568, 3.843567185945617, 3.7738354332502917, 3.7066109390881956, 3.6417600949399294, 3.5791586593266893, 3.5186909483772353, 3.4602491091797227, 3.4037324660724737, 3.3490469315362903, 3.296104474316761, 3.2448226383841257, 3.195124107161374, 3.1469363080318034, 3.1001910529881513, 3.0548242114501822, 3.0107754120892576, 2.9679877705643465, 2.9264076406857025, 2.8859843865986474, 2.8466701740127327, 2.6222230121342385, 2.6222230121, 2.1641065281, 0.0365760001, 0.036576, 0.036576]","[389.1058512, 397.9336377298133, 404.2352926073978, 410.3495037815313, 416.28725649101233, 422.05858907685496, 427.67269947620025, 433.1380370797324, 438.46238231164256, 443.6529158577011, 448.71627912252575, 453.6586272215418, 458.485675591171, 463.2027411211083, 467.8147785661823, 472.3264128755188, 476.7419679781445, 481.0654924825844, 485.30078268046935, 489.45140318760286, 493.5207055086949, 497.5118447722325, 501.42779484836706, 505.2713620343127, 509.04519746756296, 512.7518084066512, 516.3935685015912, 519.9727271609179, 523.4914181092951, 526.9516672184748, 530.3553996845473, 533.7044466160835, 537.0005510904002, 540.2453737287843, 543.4404978359457, 546.5874341439776, 549.6876251969658, 552.742449408416, 555.7532248205052, 558.7212125910696, 561.6476202317554, 564.533604618354, 567.3802747923668, 570.002497804501, 572.62472082, 574.78882734, 574.82540334, 574.8619793400001, 574.89855534]","[433.1058648, 446.57772000000006, 459.8968704, 473.1419544, 486.67080720000007, 498.71345520000006, 510.7219656, 522.448536, 533.5868424, 544.4813088000001, 555.0895680000001, 564.0467256000001, 571.6819656, 579.3062328000001, 586.6689816, 590.2080144, 592.4595720000001, 594.9583224, 597.4134864, 597.7054848, 597.7054848, 597.7054848, 597.7054848, 597.7054848, 597.7057896, 597.7054848, 597.70518, 597.7048752000001, 597.7048752000001, 597.7048752000001, 597.7048752000001, 597.7048752000001, 597.7048752000001, 597.7048752000001, 597.7048752000001, 597.7048752000001, 597.7048752000001, 597.7048752000001, 597.7048752000001, 597.7048752000001, 597.7048752000001, 597.7048752000001, 597.7048752000001, 597.7048752000001, 597.7048752000001, 597.7048752000001, 597.7048752000001, 597.7103616, 597.7167624]","[389.1058512, 401.1692256, 412.2182256, 424.5903624, 437.5303416, 450.0725568, 462.4477416, 475.1551584, 487.0771056, 500.2999392, 512.9345088, 525.5480472, 537.3535608000001, 548.4238968, 558.0363744, 565.7063616, 571.9971288, 577.0400448, 580.906128, 583.7051064, 585.8320008000001, 587.4337248, 588.323436, 588.3743376000001, 588.4249344, 588.4755312, 588.526128, 588.5767248000001, 588.6270168000001, 588.6776136, 588.7282104, 588.7788072000001, 588.8294040000001, 588.8796960000001, 588.9302928, 588.9808896000001, 589.0314864000001, 589.0820832, 589.1320704, 589.1976024, 589.4088288, 589.751424, 590.094324, 590.4369192, 590.7795144, 591.1224144, 591.4650096, 591.8076048, 592.1505048, 592.4934048, 592.836, 593.1789, 593.5214952, 593.8640904, 594.2069904, 594.5495856, 594.8921808, 595.2350808000001, 595.577676, 595.920576, 596.263476, 596.6060712, 597.5637528, 602.4771288000001, 607.5974640000001, 613.2716208, 621.7173240000001]"
6,"[-2.0, -2.0, 0.14906588655, 0.14759024033, 0.14626281249, 0.14506424843, 0.1439782708, 0.14299110784, 0.14209104238, 0.14126805303, -0.71652961486, 0.13633485466, 3.0, 3.0, 2.652309645, -2.0, 0.14723095306]","[13.024104, 10.028950792484796, 7.386966908867089, 7.129397705714256, 6.889477231371117, 6.665432793940813, 6.455723182729412, 6.259001864024296, 6.074087014209124, 5.89993694735071, 5.735629833139846, 4.7233037113577545, 4.61799764965666, 3.866569621, 6.7212107132, 9.2124949731, 7.065264, 7.065264]","[389.6386416, 399.66759239248483, 407.0545593013519, 414.18395700706617, 421.0734342384373, 427.7388670323781, 434.1945902151075, 440.4535920791318, 446.5276790933409, 452.42761604069165, 458.1632458738315, 462.88654958518924, 467.5045472348459, 471.37111682100004, 478.09232753400005, 487.30482250700004, 494.37008651, 501.43535051000003]","[583.4502936, 583.5374664, 583.6246392, 583.711812, 524.7918384000001, 533.7995928, 541.5604104, 549.3754824, 556.0185984000001, 562.5352224000001, 568.7260152, 574.9225992, 581.2219008000001, 587.7010344, 593.9433384, 600.4450272, 607.3682544000001, 614.420412]","[389.6386416, 403.1217744, 413.9668632, 426.9236064, 443.0332008, 457.1789688, 471.2509752, 484.4335752, 498.1730448, 510.3763224, 522.2455392, 533.6478024, 544.2999528, 554.9810592, 565.5658488, 576.0335952, 586.6004016, 596.50884, 605.3718144000001, 613.9476672, 623.1133080000001, 632.2780344]"
7,"[-2.0, -2.0, 0.14325117509, -1.4594256515, 0.1349797367, 0.13467731593, 0.13439306169, 0.13412554072, 0.13387345889, 0.13363564524, 0.13341103817, 3.0, 3.0, 3.0, 2.2064770376, 0.18048646559]","[11.661648000000001, 8.838524834985842, 6.3114228580903395, 6.123397604072466, 4.34465442120943, 4.255555570298832, 4.170073671720342, 4.087991453855026, 4.009108786817381, 3.93324101851367, 3.860217501386649, 3.7898802848169177, 3.866569621, 6.7212107132, 9.557628628, 11.5836192, 11.5836192]","[389.9867232, 398.8252480349858, 405.13667089307614, 411.2600684971486, 415.60472291835805, 419.8602784886569, 424.0303521603772, 428.11834361423223, 432.1274524010496, 436.0606934195633, 439.92091092094995, 443.7107912057669, 447.57736082099996, 454.29857153399996, 463.85620016199994, 475.439819362, 487.02343856199997]","[413.2441824, 424.1523648, 436.7146968, 449.4845976, 462.1121568, 474.1005504, 508.23540720000005, 519.5200176000001, 508.76911200000006, 519.8406672, 530.402292, 540.8206608, 551.7742584, 562.9424352, 573.9987504000001, 586.0606008, 597.9157968000001]","[389.9867232, 402.1390992, 413.3664072, 424.580304, 437.0865528, 449.7915312, 461.7052488, 473.1337248, 483.8831064, 494.925096, 505.87899840000006, 517.0371168, 527.3570352, 537.3325296, 547.5149832000001, 557.9181120000001, 568.8735384, 579.9478368, 591.3293736, 602.2966872000001, 614.3222664, 626.4002712]"
