,uHost,vHost,sHost,sLead_new,sTest_new
0,"[0.13784161046, 0.13735002944, 0.13689304389, 0.13646746442, 0.13607046244, 0.13569952211, 0.13535239958, 0.13502708836, 0.13472178971, 0.13443488725, 0.13416492519, 0.13391058947, 0.13367069145, 0.13344415384, 0.1332299983, 0.13302733475, 0.13283535195, 0.13265330922, 0.13248052921, 0.13231639148, 0.13216032685, 0.13201181237, 0.1318703669, 0.13173554712, 0.13160694406, 0.13148417989, 0.13136690515, 0.1312547962, 0.13114755297, 0.13104489695, 0.13094656931, 0.13085232927, 0.1307619526, 0.1306752303, 0.13059196734, 0.13051198155, 0.13043510264, 0.13036117126, 0.13029003818, 0.1302215635, 0.130155616, 0.13009207246, 0.1300308171, 0.12997174105, 0.12991474184, 0.12985972298, 0.12980659353, 0.12975526771, 0.12970566457, 0.12965770768, 0.12961132478, 0.12956644756, 0.12952301137, 0.12948095502, 0.12944022052, 0.12940075291, 0.12936250007, 0.12932541252, 0.12928944329, 0.12925454776, 0.12922068352, 0.043603484765, -0.12915813954, -0.099991780973, -0.07742974011, -0.054494754357, -0.03300385537, -0.012622268725, 0.025624037275, 0.12767550069, 0.12767466787, 0.12767384219, 0.12767302356, 0.1276722119, 0.12767140715, 0.12767060921, 3.0, 3.0, -1.5019622019, 0.79532526456, 0.14051672401]","[5.111496, 4.988169138950711, 4.870721586810313, 4.758739581881401, 4.651847507455927, 4.549703576693283, 4.451996092297607, 4.3584401933220756, 4.268775016502701, 4.1827612115816555, 4.10017876001945, 4.020825054690407, 3.944513204678522, 3.87107053491272, 3.800337255028902, 3.7321652754027137, 3.666417151796086, 3.6029651425108677, 3.541690364253977, 3.4824820348880374, 3.425236792744001, 3.369858083616883, 3.3162556076785856, 3.26434481961306, 3.214046476023386, 3.16528622504831, 3.117994233548388, 3.072104847998097, 3.027556285509348, 2.984290351939238, 2.9422521843604805, 2.9013900153999774, 2.8616549573678784, 2.8230008042351007, 2.7853838497943837, 2.7487627204175595, 2.713098221088639, 2.6783531935254157, 2.6444923852478106, 2.6114823286532416, 2.5792912291751153, 2.547888861806643, 2.517246475184576, 2.487336702655073, 2.458133479719139, 2.42961196730551, 2.401748480443014, 2.374520421851173, 2.347906220062014, 2.321885271744525, 2.2964378878972087, 2.271545243545705, 2.247189330782215, 2.2233529148063305, 2.200019492812089, 2.177173255435209, 2.154799050645122, 2.132882349871794, 2.11140921618366, 2.0903662744276077, 2.06974068315348, 2.0495201082081738, 1.9441083724098422, 1.668088250501533, 1.4263342217561181, 1.2109686198459748, 1.0214431752963173, 0.8555727295176181, 0.7116763446157286, 0.6071797810010461, 0.6054395927608955, 0.6037093650487797, 0.6019890125126349, 0.6002784507649114, 0.5985775963776319, 0.5968863668876506, 0.5952046807420468, 3.866569621, 6.721210713, 5.0815274594, 5.736336, 5.736336]","[389.1537048, 394.1418739389507, 399.012595525761, 403.7713351076424, 408.42318261509837, 412.97288619179164, 417.4248822840893, 421.78332247741133, 426.05209749391406, 430.2348587054957, 434.33503746551514, 438.35586252020556, 442.3003757248841, 446.1714462597968, 449.97178351482574, 453.7039487902285, 457.3703659420246, 460.97333108453546, 464.5150214487894, 467.99750348367746, 471.42274027642145, 474.7925983600383, 478.1088539677169, 481.37319878733, 484.5872452633534, 487.7525314884017, 490.8705257219501, 493.9426305699482, 496.97018685545754, 499.9544772073968, 502.8967293917573, 505.79811940715723, 508.6597743645251, 511.4827751687602, 514.2681590185546, 517.0169217389721, 519.7300199600608, 522.4083731535861, 525.0528655388339, 527.6643478674871, 530.2436390966623, 532.7915279584689, 535.3087744336535, 537.7961111363086, 540.2542446160277, 542.6838565833332, 545.0856050637761, 547.4601254856273, 549.8080317056892, 552.1299169774338, 554.4263548653311, 556.6979001088768, 558.945089439659, 561.1684423544654, 563.3684618472774, 565.5456351027127, 567.7004341533578, 569.8333165032296, 571.9447257194133, 574.035091993841, 576.1048326769944, 578.1543527852026, 580.0984611576124, 581.766549408114, 583.19288362987, 584.403852249716, 585.4252954250123, 586.2808681545299, 586.9925444991457, 587.5997242801467, 588.2051638729076, 588.8088732379564, 589.410862250469, 590.0111407012339, 590.6097182976115, 591.2066046644992, 591.8018093452413, 595.6683794200001, 602.38959013, 607.47111759, 613.20745359, 618.94378959]","[455.71105200000005, 465.2817720000001, 474.922596, 546.6313680000001, 558.8745744, 507.1222776, 517.9307904000001, 528.6445104, 539.5712856, 550.6215048, 559.1973576, 567.13374, 573.6451824000001, 578.1101976, 582.5788704, 587.0475432000001, 591.2827392, 594.2475288, 596.879172, 599.7674568, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.6248592000001, 600.739464, 601.9065432, 603.0638688, 605.4681312, 608.5642896, 613.0302192, 618.8598240000001, 626.0817552000001, 633.4240824000001]","[389.1537048, 395.2015464, 402.1625688, 409.0592784, 415.096452, 422.2967424, 430.5982752, 439.2210672, 447.388488, 454.7804976, 462.1755552, 469.4852688, 477.0126096, 484.20375600000006, 491.65611600000005, 499.29409920000006, 506.6669064, 514.1506608000001, 521.6243568, 529.7097864, 537.6681144, 545.1701568, 551.8367424, 558.5036328000001, 564.757824, 569.2304592, 573.7841712, 578.036436, 580.7549472000001, 583.4356632, 586.1200368, 588.0482016, 589.4999640000001, 590.9459352, 590.9727576, 590.9943984, 591.016344, 591.0382896000001, 591.0602352000001, 591.081876, 591.1038216000001, 591.1257672, 591.147408, 591.1693536, 591.1909944, 591.21294, 591.2345808, 591.2565264, 591.2781672, 591.3001128000001, 591.3220584, 591.344004, 591.3659496, 591.3875904, 591.409536, 591.4314816000001, 591.4531224, 591.4750680000001, 591.4967088000001, 591.5186544000001, 591.5402952000001, 591.5622408, 591.5841864, 591.6058272, 591.6277728, 591.6494136, 591.6713592000001, 591.693, 591.7149456, 591.7368912000001, 591.7585320000001, 591.7804776, 591.8021184, 591.824064, 591.8457048, 591.8676504, 591.8892912, 592.2605376, 594.091776, 596.245188, 598.4190216000001, 600.8168832, 603.2147448000001, 605.5479888, 609.1449336000001, 615.6103512000001, 622.0590048, 628.5207648]"
1,"[-2.0, 0.16414733947, -2.0, 0.1453893849, 0.1442732265, 0.14325953169, 0.14233604511, 0.14149230014, 0.14071931316, 0.14000933734, 0.13935566296, 0.13875245449, 0.13819461686, -0.09334749744, -0.19998885836, -0.18341308291, 0.094526553621, 0.077112865201, 0.13275883351, 0.13258070366, 0.13241157315, 0.1322508434, 0.13209796495, 0.13195243265, 0.13181378148, 3.0, 3.0, 3.0, 0.96421958892, 0.16982421689]","[12.697968, 9.745722976959001, 9.296533533825313, 6.726947289551172, 6.5133490462063675, 6.313100057246938, 6.1249748581824885, 5.947894558607155, 5.7809054489263385, 5.623161263505261, 5.473908388862973, 5.332473459814705, 5.19825290412139, 5.070704086500999, 4.718312590249223, 4.276923850414125, 3.872418985515676, 3.7627146973032914, 3.639880979482678, 3.5773441307590526, 3.5169377149881593, 3.4585541000922584, 3.402092812974234, 3.3474599522086095, 3.294567657723844, 3.2433336312024688, 3.866569621, 6.7212107132, 9.557628628, 10.352024, 10.352024]","[389.8891872, 399.634910176959, 408.9314437107843, 415.6583910003355, 422.17174004654186, 428.48484010378877, 434.60981496197127, 440.55770952057844, 446.33861496950476, 451.96177623301, 457.435684621873, 462.7681580816877, 467.9664109858091, 473.0371150723101, 477.7554276625593, 482.03235151297343, 485.9047704984891, 489.6674851957924, 493.30736617527504, 496.8847103060341, 500.40164802102225, 503.8602021211145, 507.26229493408874, 510.60975488629737, 513.9043225440212, 517.1476561752237, 521.01422582, 527.73543653, 537.29306516, 547.64508916, 557.99711316]","[426.8321664, 442.1203248000001, 455.6324136, 469.2856248000001, 481.84643280000006, 537.024072, 505.70404320000006, 537.4831008, 537.7126152, 537.9421296, 538.1713392, 538.4008536, 538.6303680000001, 538.8598824000001, 539.089092, 539.3186064, 539.560008, 539.805372, 540.0504312, 540.2951856000001, 540.6356472, 542.7101160000001, 544.8748056000001, 547.0355328, 550.8912528, 557.335944, 564.3109872, 572.8600176, 581.6742240000001, 592.0441296, 601.5261528]","[389.8891872, 402.7026744, 414.32439360000006, 427.1616552, 440.8743024, 453.8886528, 465.6578952, 477.33661200000006, 487.562652, 498.3486096, 506.3011464000001, 514.3746888, 521.852652, 526.3542432, 528.626832, 530.688804, 531.217632, 531.3977688, 531.577296, 531.7559088, 531.9345216, 532.8656856, 534.422604, 536.1026616, 537.7839384, 541.3046832, 546.6661152, 552.210732, 560.3754096, 568.6571304, 578.1324480000001, 587.6928048, 597.7365744, 608.5450872, 618.7909392, 629.0331336]"
2,"[0.1810901443, -1.0412359233, 3.0, -2.0, 0.15833785949, 0.1558218224, -2.0, 0.14018625368, 0.13951869312, 0.13890302324, 0.13833396999, 0.13780691582, 0.13731780363, 0.13686305683, 0.13643951234, 0.13604436432, 0.13567511671, 0.13532954289, 0.13500565142, 0.13470165675, 0.13441595413, 3.0, 3.0, 3.0, -1.2964754218, 0.15347320613]","[11.649456, 11.0088766741133, 9.220210999081024, 11.657853332768283, 8.835182782194162, 8.466720782663437, 8.128350586755477, 5.6628800392843885, 5.511511245263979, 5.368126475597601, 5.232105117647692, 5.102889636562349, 4.979977723401651, 4.862915591940702, 4.751292232226519, 4.644734464704042, 4.542902667414509, 4.445487071518013, 4.352204538515632, 4.262795747512689, 4.177022732736662, 4.09466672134531, 3.866569621, 6.7212107132, 9.557628628, 8.10768, 8.10768]","[389.5124544000001, 400.5213310741134, 409.7415420731944, 421.3993954059627, 430.2345781881569, 438.70129897082035, 446.8296495575758, 452.4925295968602, 458.0040408421242, 463.3721673177218, 468.60427243536947, 473.7071620719318, 478.68713979533345, 483.55005538727414, 488.3013476195007, 492.9460820842047, 497.4889847516192, 501.93447182313724, 506.2866763616529, 510.5494721091656, 514.7264948419023, 518.8211615632476, 522.6877310200001, 529.4089417300002, 538.9665703600001, 547.0742503600001, 555.18193036]","[425.5163448, 439.1719944, 452.2177392, 465.03366480000005, 478.9041984, 553.048932, 553.0891656, 553.1293992000001, 553.1696328, 553.2095616, 553.2497952, 553.2900288000001, 553.3299576000001, 553.3656192, 554.2413096, 555.4687392000001, 556.6961688, 557.9202456, 561.1849584, 565.8011544000001, 570.422532, 576.2484792, 582.4243368, 590.1625992, 597.5219952, 605.3093304, 613.2902136]","[389.5124544000001, 401.1957432, 412.3751976, 423.063924, 435.2608008, 448.04838, 460.4869632000001, 472.77345120000007, 484.371396, 495.3582168, 506.230128, 517.2617544000001, 526.6489848000001, 533.4637032, 538.2737520000001, 543.0908112000001, 545.7782328000001, 548.1763992, 550.5477432, 554.1748632, 558.3298968, 562.4806632000001, 566.95086, 573.0090648, 580.6574112000001, 588.2600376, 595.6660680000001, 602.6807352000001, 610.2592824000001, 618.343188, 626.4792144, 634.6146312000001]"
3,"[0.19043433306, -1.8538724914, -2.0, 0.14478665917, 0.14372623312, 0.14276155776, 0.14188136421, 0.14107600258, 0.14033716952, 0.13965768795, 0.13903132786, 0.13845265962, 0.13791693321, 0.13741997825, 0.13695812086, 0.13652811411, 0.13612707963, 0.13575245835, 0.13540196878, 0.13507357154, 0.13476543905, 0.1344759296, 0.13420356507, 3.0, 3.0, 0.9669318042, -2.0, 0.13903486151]","[12.624816000000001, 11.87248017661931, 9.170105756854898, 6.612461203243064, 6.4060715595843645, 6.212364611527076, 6.030195180653541, 5.858552864669695, 5.696542673834213, 5.543368926431951, 5.398321778590709, 5.26076589737714, 5.1301308882909415, 5.005903167098045, 4.887619027194604, 4.774858701666177, 4.667241256888464, 4.564420184536119, 4.466079582716494, 4.371930836118226, 4.2817097205206105, 4.1951738694961405, 4.11210055142122, 4.032284713232064, 3.866569621, 6.7212107132, 7.5381858815, 5.399151, 5.399151]","[389.0662272, 400.93870737661933, 410.10881313347426, 416.72127433671733, 423.1273458963017, 429.3397105078287, 435.3699056884823, 441.228458553152, 446.9250012269862, 452.4683701534181, 457.8666919320088, 463.12745782938595, 468.25758871767687, 473.2634918847749, 478.1511109119695, 482.9259696136357, 487.59321087052416, 492.1576310550603, 496.62371063777675, 500.995641473895, 505.2773511944156, 509.47252506391175, 513.5846256153329, 517.616910328565, 521.48347982, 528.20469053, 535.74287642, 541.14202742, 546.54117842]","[558.7407672, 558.7703328, 558.8075184, 558.8459232, 558.8837184, 558.9218184, 558.9599184, 559.0199640000001, 559.1043936000001, 559.1876040000001, 559.2699, 559.3464048000001, 559.4219952000001, 559.4981952, 559.5740904, 559.6499856, 559.725576, 559.8014712, 559.8773664, 561.2459184, 565.7033136, 570.0238536, 574.4617416000001, 578.8968864000001, 584.1680976, 589.6160928, 595.2737904, 600.3014664]","[389.0662272, 402.0135216000001, 413.8354944, 425.939712, 437.9402976, 449.7982368, 461.2952928, 468.3337344, 472.6658568, 476.998284, 481.3304064, 485.07914160000007, 489.4225416000001, 493.7421672, 497.4863304, 499.6818048, 502.9227432, 508.55453280000006, 514.3628016, 520.1216928, 525.7870104, 531.9467136000001, 538.449012, 545.1491256, 551.8498488, 559.1269488, 566.9468975999999, 574.7266128, 581.8881936, 588.9967392, 597.0388872, 606.2161104, 615.7837824000001, 624.8619456, 634.2147336]"
4,"[-2.0, -2.0, 0.14468825904, 0.14363684252, 0.14268010194, 0.14180692484, 0.14100779114, 0.14027450576, 0.13959998249, 0.13897806793, 0.13840339735, 0.13787127602, 0.1373775808, 0.13691867836, 0.13649135674, 0.1360927678, 0.13572037872, 0.13537193088, 0.13504540485, 0.13473899057, 0.13445106171, 0.13418015369, 0.13392494469, 3.0, 3.0, 3.0, -1.3864524479, 0.15290418002]","[12.015215999999999, 9.149274223431016, 6.593581614295791, 6.38836883622411, 6.195730999672102, 6.014535780459193, 5.843783759308693, 5.682589377305989, 5.530165088395705, 5.385808097809195, 5.248889205418885, 5.118843373058179, 4.9951617118856095, 4.8773846455823255, 4.7650960523904216, 4.657918225780056, 4.555507522881274, 4.457550593353021, 4.363761100053773, 4.273876858043463, 4.187657330856936, 4.104881432839529, 4.025345594715933, 3.9488620562072536, 3.866569621, 6.7212107132, 9.557628628, 8.018272, 8.018272]","[389.3917536, 398.541027823431, 405.1346094377268, 411.5229782739509, 417.718709273623, 423.7332450540822, 429.5770288133909, 435.25961819069687, 440.7897832790926, 446.1755913769018, 451.4244805823207, 456.54332395537887, 461.53848566726447, 466.4158703128468, 471.1809663652372, 475.8388845910173, 480.39439211389856, 484.85194270725157, 489.2157038073053, 493.4895806653488, 497.67723799620575, 501.7821194290453, 505.8074650237612, 509.75632707996846, 513.62289622, 520.34410693, 529.90173556, 537.92000756, 545.93827956]","[401.1957432, 412.3751976, 423.063924, 435.2608008, 448.04838, 460.4869632000001, 472.77345120000007, 553.1696328, 553.2095616, 553.2497952, 553.2900288000001, 526.6489848000001, 533.4637032, 538.2737520000001, 543.0908112000001, 545.7782328000001, 548.1763992, 550.5477432, 554.1748632, 558.3298968, 562.4806632000001, 566.95086, 573.0090648, 580.6574112000001, 588.2600376, 595.6660680000001, 602.6807352000001, 610.2592824000001]","[389.3917536, 401.4968856, 413.0759328, 424.226736, 435.1931352, 446.3975832, 457.274676, 468.0810552, 478.9755216, 488.6489592, 499.2270432, 508.7474712, 517.216644, 524.0792160000001, 530.455632, 536.04414, 538.986984, 540.9553824000001, 542.921952, 545.9294136, 550.4380152, 555.0091008, 559.5804912, 564.4633872, 571.5405384000001, 578.7393048, 585.9258792, 593.0649048, 601.496892, 610.3153656000001, 619.2460056, 628.0202832000001]"
5,"[-2.0, -2.0, 0.14320255046, 0.14228405223, 0.14144472606, 0.14067566777, 0.13996919697, 0.13931865983, 0.13871826805, 0.13816296666, 0.1376483249, 0.1371704456, 0.13672588961, 0.13631161245, 0.13592491101, 0.13556337849, 0.13522486607, 0.13490745038, 0.13460940558, 0.13432917943, 0.1340653727, 0.13381672135, 0.13358208112, 0.13336041411, 0.1331507771, 0.13295231138, 0.13276423375, 0.13258582867, 0.1324164414, 0.13225547183, 0.13210236911, 0.13195662686, 0.13181777892, 0.13168539559, 0.13155908019, 0.13143846614, 0.13132321417, 0.13121300998, 0.131107562, 0.13100659949, 0.13090987074, 0.13081714152, 0.066920579695, 0.13050298293, -0.45112727165, -2.0, 0.12753052789, 0.12753052799]","[11.649456, 8.827786529813299, 6.3016548775845, 6.11421117413352, 5.937752709481, 5.771332585842645, 5.61411039934529, 5.465337603532131, 5.324345231910167, 5.190533546058517, 5.063363264824675, 4.94234809901607, 4.827048369629236, 4.717065529937336, 4.612037445074008, 4.511634309336514, 4.415555102625663, 4.323524504439872, 4.235290197884952, 4.150620507133483, 4.069302321092032, 3.991139263537621, 3.915950076134568, 3.843567185945617, 3.7738354332502917, 3.7066109390881956, 3.6417600949399294, 3.5791586593266893, 3.5186909483772353, 3.4602491091797227, 3.4037324660724737, 3.3490469315362903, 3.296104474316761, 3.2448226383841257, 3.195124107161374, 3.1469363080318034, 3.1001910529881513, 3.0548242114501822, 3.0107754120892576, 2.9679877705643465, 2.9264076406857025, 2.8859843865986474, 2.8466701740127327, 2.7446121646592383, 2.7446121647, 2.1641065281, 0.0365760001, 0.036576, 0.036576]","[389.1058512, 397.9336377298133, 404.2352926073978, 410.3495037815313, 416.28725649101233, 422.05858907685496, 427.67269947620025, 433.1380370797324, 438.46238231164256, 443.6529158577011, 448.71627912252575, 453.6586272215418, 458.485675591171, 463.2027411211083, 467.8147785661823, 472.3264128755188, 476.7419679781445, 481.0654924825844, 485.30078268046935, 489.45140318760286, 493.5207055086949, 497.5118447722325, 501.42779484836706, 505.2713620343127, 509.04519746756296, 512.7518084066512, 516.3935685015912, 519.9727271609179, 523.4914181092951, 526.9516672184748, 530.3553996845473, 533.7044466160835, 537.0005510904002, 540.2453737287843, 543.4404978359457, 546.5874341439776, 549.6876251969658, 552.742449408416, 555.7532248205052, 558.7212125910696, 561.6476202317554, 564.533604618354, 567.3802747923668, 570.124886957026, 572.86949912, 575.03360565, 575.07018165, 575.10675765, 575.14333365]","[433.1058648, 446.57772000000006, 459.8968704, 473.1419544, 486.67080720000007, 498.71345520000006, 510.7219656, 522.448536, 533.5868424, 544.4813088000001, 555.0895680000001, 564.0467256000001, 571.6819656, 579.3062328000001, 586.6689816, 590.2080144, 592.4595720000001, 594.9583224, 597.4134864, 597.7054848, 597.7054848, 597.7054848, 597.7054848, 597.7054848, 597.7057896, 597.7054848, 597.70518, 597.7048752000001, 597.7048752000001, 597.7048752000001, 597.7048752000001, 597.7048752000001, 597.7048752000001, 597.7048752000001, 597.7048752000001, 597.7048752000001, 597.7048752000001, 597.7048752000001, 597.7048752000001, 597.7048752000001, 597.7048752000001, 597.7048752000001, 597.7048752000001, 597.7048752000001, 597.7048752000001, 597.7048752000001, 597.7048752000001, 597.7103616, 597.7167624]","[389.1058512, 401.1692256, 412.2182256, 424.5903624, 437.5303416, 450.0725568, 462.4477416, 475.1551584, 487.0771056, 500.2999392, 512.9345088, 525.5480472, 537.3535608000001, 548.4238968, 558.0363744, 565.7063616, 571.9971288, 577.0400448, 580.906128, 583.7051064, 585.8320008000001, 587.4337248, 588.323436, 588.3743376000001, 588.4249344, 588.4755312, 588.526128, 588.5767248000001, 588.6270168000001, 588.6776136, 588.7282104, 588.7788072000001, 588.8294040000001, 588.8796960000001, 588.9302928, 588.9808896000001, 589.0314864000001, 589.0820832, 589.1320704, 589.1976024, 589.4088288, 589.751424, 590.094324, 590.4369192, 590.7795144, 591.1224144, 591.4650096, 591.8076048, 592.1505048, 592.4934048, 592.836, 593.1789, 593.5214952, 593.8640904, 594.2069904, 594.5495856, 594.8921808, 595.2350808000001, 595.577676, 595.920576, 596.263476, 596.6060712, 597.5637528, 602.4771288000001, 607.5974640000001, 613.2716208, 621.7173240000001]"
6,"[-0.5071993367, -2.0, -2.0, 0.14269700574, 0.1418223741, 0.14102194914, 0.14028751342, 0.13961196189, 0.13898912531, 0.13841362553, -0.18496993887, 0.13615400196, 3.0, 3.0, 2.6523096449, -2.0, 0.14723095306]","[13.024104, 11.521751455784797, 8.715217265821174, 6.1991864940913715, 6.01778910546165, 5.8468523112693225, 5.685488599517953, 5.53290873906463, 5.388408474851831, 5.2513573361185, 5.121189174805702, 4.674543433769517, 4.571400370345153, 3.866569621, 6.7212107132, 9.2124949731, 7.065264, 7.065264]","[389.6386416, 401.1603930557848, 409.875610321606, 416.07479681569737, 422.092585921159, 427.93943823242836, 433.6249268319463, 439.15783557101093, 444.54624404586275, 449.7976013819812, 454.9187905567869, 459.59333399055646, 464.1647343609016, 468.03130402100004, 474.75251473400004, 483.96500970700004, 491.03027371, 498.09553771000003]","[583.4502936, 583.5374664, 583.6246392, 583.711812, 524.7918384000001, 533.7995928, 541.5604104, 549.3754824, 556.0185984000001, 562.5352224000001, 568.7260152, 574.9225992, 581.2219008000001, 587.7010344, 593.9433384, 600.4450272, 607.3682544000001, 614.420412]","[389.6386416, 403.1217744, 413.9668632, 426.9236064, 443.0332008, 457.1789688, 471.2509752, 484.4335752, 498.1730448, 510.3763224, 522.2455392, 533.6478024, 544.2999528, 554.9810592, 565.5658488, 576.0335952, 586.6004016, 596.50884, 605.3718144000001, 613.9476672, 623.1133080000001, 632.2780344]"
7,"[-2.0, -2.0, 0.14325117509, -0.86651843818, 0.13715178188, 0.13670851117, 0.13629540331, 0.13590976804, 0.1355492097, 0.13521158926, 0.13489499184, 3.0, 3.0, 3.0, 2.2064770376, 0.18048646559]","[11.661648000000001, 8.838524834985842, 6.3114228580903395, 6.123397604072466, 4.93756163452943, 4.822485123264434, 4.712710129659559, 4.607875906066879, 4.507653880338708, 4.411744132284198, 4.319872324795627, 4.231787022334788, 3.866569621, 6.7212107132, 9.557628628, 11.5836192, 11.5836192]","[389.9867232, 398.8252480349858, 405.13667089307614, 411.2600684971486, 416.197630131678, 421.0201152549424, 425.732825384602, 430.34070129066885, 434.84835517100754, 439.2600993032917, 443.5799716280874, 447.8117586504222, 451.678328321, 458.399539034, 467.95716766199996, 479.540786862, 491.12440605999996]","[413.2441824, 424.1523648, 436.7146968, 449.4845976, 462.1121568, 474.1005504, 508.23540720000005, 519.5200176000001, 508.76911200000006, 519.8406672, 530.402292, 540.8206608, 551.7742584, 562.9424352, 573.9987504000001, 586.0606008, 597.9157968000001]","[389.9867232, 402.1390992, 413.3664072, 424.580304, 437.0865528, 449.7915312, 461.7052488, 473.1337248, 483.8831064, 494.925096, 505.87899840000006, 517.0371168, 527.3570352, 537.3325296, 547.5149832000001, 557.9181120000001, 568.8735384, 579.9478368, 591.3293736, 602.2966872000001, 614.3222664, 626.4002712]"
